CaseID,Image_filename,Feature__00,Feature__01,Feature__02,Feature__03,Feature__04,Feature__05,Feature__06,Feature__07,Feature__08,Feature__09,Feature__10,Feature__11,Feature__12,Feature__13,Feature__14,Feature__15,Feature__16,Feature__17,Feature__18,Feature__19,Feature__20,Feature__21,Feature__22,Feature__23,Feature__24,Feature__25,Feature__26,Feature__27,Feature__28,Feature__29,Feature__30,Feature__31,Feature__32,Feature__33,Feature__34,Feature__35,Feature__36,Feature__37,Feature__38,Feature__39,Feature__40,Feature__41,Feature__42,Feature__43,Feature__44,Feature__45,Feature__46,Feature__47,Feature__48,Feature__49,Feature__50,Feature__51,Feature__52,Feature__53,Feature__54,Feature__55,Feature__56,Feature__57,Feature__58,Feature__59,Feature__60,Feature__61,Feature__62,Feature__63,Feature__64,Feature__65,Feature__66,Feature__67,Feature__68,Feature__69,Feature__70,Feature__71,Feature__72,Feature__73,Feature__74,Feature__75,Feature__76,Feature__77,Feature__78,Feature__79
102 Malignant,102 Malignant_img.png,125.51585365853659,104.36578104305335,125.5293857271906,103.10193460685822,118.6916711833785,117.93059669970252,93.16269196025294,120.12851669439688,59.6179945799458,106.72365228116598,125.80051490514906,104.15390676409832,125.92905149051491,102.76278358817252,119.59271002710027,117.58180336872563,94.33805781391148,120.44047725927904,60.20035230352303,107.20384281807112,125.13225835591689,103.16094102194431,125.48368563685636,101.42367200226634,119.69645889792231,116.36432362288785,96.94285456187895,120.96169126741091,62.11550135501355,108.54180929460951,124.14027100271002,101.75196270307697,124.58279132791328,99.36565034300962,120.29032520325204,114.38182724997574,102.04633242999097,121.52263596193883,66.47163504968383,111.0256408096803,123.39456187895212,100.26630963826096,123.73859078590786,97.02321551128686,121.18222222222222,111.64911103408029,107.71728997289974,121.27224497446716,75.30962962962963,115.17106232261844,122.7149593495935,98.91491986308476,123.73158988256549,94.79316397365015,121.43237579042457,108.3500723680446,112.85376693766938,119.87527562146573,87.10177055103884,119.1200276558693,122.45916892502258,97.83593277542464,123.48623306233063,92.87275819240789,121.78109304426377,105.18367357742585,116.07851851851852,117.5940894696782,97.12147244805782,120.77140132555814,122.15049683830172,97.11415724182643,123.36678410117435,91.59917231695995,122.12020776874435,102.8508866789801,118.13551038843721,115.52973784739665,103.00518518518518,120.61432315662306
24 Benign,24 Benign_img.png,122.11625158294639,95.40563814090365,122.81367665681722,94.00183655210894,119.10173068805403,113.00702616382291,102.39535669058675,120.00607397904099,80.19349936682144,115.88876214723253,123.63241874208526,93.7216591415781,125.62659349936682,92.68460543521294,122.48087800759814,112.41290157538309,105.86433094132545,120.68229310869249,77.80194174757281,115.11720580622674,121.48459265512875,91.90070000213836,122.00844238075138,90.77761114948862,122.43258758970029,110.50075796702325,107.84896580835796,120.8549454459199,77.87657239341495,115.63102025401449,118.7267201350781,91.32949841627814,119.8092866188265,89.9731192812693,120.26635711270578,107.65061940577675,110.60979316167159,120.4034825242499,82.37391304347825,117.54316809001465,116.59341494301393,90.62994206206655,118.65605740818911,88.7221857093929,118.40135078092023,104.33618989402957,113.03436048965808,118.96545146414044,89.04601097509497,119.49022151232133,114.21992401857324,89.34173514844964,117.51743351625159,87.33807698736744,115.31430983537358,100.93348549961988,114.84406922752216,116.43229988082912,97.6916842549599,120.95352066178619,112.32823976361334,88.12465163467199,117.33018151118615,86.09650492566176,115.58564795272267,98.46327998870217,115.90384128324187,112.86915642997492,106.33761080624735,120.65607583574703,111.61114394259181,87.48960979328521,116.97864077669902,84.83207040099727,117.79307724778387,96.7970333613963,117.47741663149009,110.01677342813736,113.3255382017729,118.97653060729137
36 Benign,36 Benign_img.png,115.89927543626901,99.33003123989513,116.92050209205021,97.75276115597279,113.83181957342586,113.7432290101707,97.00238119536007,119.33577234704903,76.47263326189747,114.53435862582519,111.63054053134674,97.30731255249226,113.45154267442256,95.9928420127075,111.19396537061606,112.68139258383043,96.91784876007756,119.3467510716205,77.03126169337007,114.99408343079055,110.39031193659217,95.24787569440245,112.10888866210838,93.89790824843976,109.78310711977413,110.97355333647289,98.62482566248256,119.81208841771534,74.49144470524203,114.31733974045527,110.43317345307344,93.33876241673839,112.33091812089668,91.86051646992689,110.9874136816682,108.97339545285449,102.82586658502568,120.37001689432948,75.20070075177739,114.80890113352055,109.37303126169337,91.96679654717333,113.3718746810899,90.47832710177866,112.63618736605775,106.5533517277972,107.55995509745892,120.10397344733678,80.14232744837909,116.79509497560291,110.2083545940062,91.18352692684338,114.33493213593223,89.02991342336294,115.41340953158486,104.27301119900928,111.10575909106372,118.77318111022431,86.6026805456339,118.65725865746434,111.27856584005171,90.4484629062172,116.17634452495153,87.86254402869457,117.53005408715175,102.29187557604625,113.81470898390992,116.71593306917684,94.32465897880736,119.71899260071085,111.69234955947886,90.37380909453806,116.82260094567472,87.51271575053268,118.51719563220736,100.9904194540208,114.91220192536653,114.86438526594318,100.08609722080485,119.38781165879222
106 Malignant,106 Malignant_img.png,124.67884527089072,98.28529020909335,124.74794536271808,97.08317567777193,120.12667584940313,115.34360165068003,98.138246097337,120.47198706219062,67.92390955004592,111.04190624519492,124.28736225895317,97.84152253387902,124.45862029384757,96.48868356607919,120.13582415059687,114.77265615523478,99.24480027548209,120.68800038115783,69.04439853076217,111.76014365242752,124.71974288337924,96.61447883803964,124.73720156106519,94.9167553838159,121.20665748393021,113.16600450044326,102.61803259871442,121.2414889740908,70.91813590449954,113.00653337612619,125.66775711662075,95.08895986023765,125.540645087236,92.88597159893257,122.02067263544537,110.53462365994982,107.14234389348026,121.36074296636923,74.97089072543618,114.95926606103976,126.11108815426998,93.4913256491479,125.93598484848485,90.6840678430032,122.6181129476584,107.169836196471,111.60668044077136,120.44444004265989,82.9543388429752,117.90072166624147,126.32878787878788,91.93631865224876,125.36179981634527,88.54604204517705,122.79157483930211,103.5040670192766,115.03492883379246,118.42898729248853,93.1520202020202,120.4361115418464,126.57432277318641,90.79978319665092,125.49172405876952,86.85502365165183,122.91888200183655,100.2799681522487,117.08252984389348,115.75420274171216,101.24818640955004,120.94423692275888,126.83771808999082,90.23505052973695,125.02637741046831,85.9229524507823,123.38010789715335,98.24226217242779,118.69882920110193,113.48989357846399,105.61339531680441,120.08849639757395
23 Benign,23 Benign_img.png,129.59075126262627,84.04713592465615,129.26294191919192,83.10694052585099,127.20296717171718,107.7202062386857,115.61000631313131,119.79472613062764,88.87294823232324,118.03673398017635,126.94981060606061,82.963042877838,128.61363636363637,82.27768310594259,129.11253156565655,106.35430468856512,116.97806186868686,119.95461838545951,90.62310606060606,118.88408165162552,125.29087752525253,82.25679920386705,127.93197601010101,81.3322133415151,129.0741792929293,104.00840032584671,118.03330176767676,120.11026997247552,90.62736742424242,119.57883082966543,124.84248737373737,80.7454211909748,125.04592803030303,79.43903071837306,125.66003787878788,101.016423527171,116.36837121212122,119.59567710391129,92.80571338383838,120.5871917203635,123.40940656565657,78.91743263780687,124.79845328282828,77.18921641125412,120.66982323232324,97.37990634658551,115.90972222222223,118.13931381470654,94.33080808080808,120.80690582622586,122.59643308080808,78.6076526118531,122.92660984848484,76.95041455048649,120.46669823232324,94.51691782230645,117.12042297979798,115.70887492730321,105.17092803030303,122.39605198880739,122.47679924242425,79.27977624413938,123.9313446969697,77.29219771824341,120.58159722222223,92.5555506604274,118.7315340909091,112.7821674221124,108.08475378787878,121.10627186787163,124.37231691919192,80.09608606284348,123.92945075757575,77.97020064235076,121.55287247474747,91.3511393694538,119.6311553030303,110.51040404333811,112.12342171717172,119.64509642224294
34 Malignant,34 Malignant_img.png,127.51905901116427,97.26528097920155,127.52097288676237,96.71212007493384,121.38114035087719,116.00071455249761,100.11248006379586,120.69097939665947,68.98592503987241,111.34620457826487,126.74832535885167,95.63882613760308,127.25502392344498,95.1593218018964,120.04924242424242,115.14730808505551,100.41076555023923,120.77330483190396,69.8512360446571,111.99963473284355,126.59677033492822,92.67466743821946,126.08145933014355,92.14616937370079,120.09354066985647,113.35321722917126,103.05956937799043,121.2549361042227,71.6561004784689,113.29261820250998,127.25845295055821,90.12472146408138,126.8823763955343,89.37505936478033,120.31547049441787,110.72168652042363,107.23995215311005,121.46599473725011,77.00518341307814,115.86300607734532,128.10566188197768,88.37119858796143,127.43437001594896,87.06851551772075,120.7421052631579,107.23035168664045,111.5859649122807,120.63248169683358,86.83161881977671,119.2929251493183,127.75370813397129,87.16071098653778,126.83185805422647,85.17209755530436,120.33038277511962,103.33360416598866,115.03668261562999,118.40354796008955,98.15885167464114,121.58823023900234,126.3305422647528,86.40572662437283,126.28680223285487,84.0088222638756,121.57380382775119,100.16451566761567,117.79238437001595,115.13562662251748,107.12763157894737,121.47549658259753,126.01008771929824,86.15737345295112,126.0762360446571,83.5534182044495,123.62838915470495,97.96753249786873,118.73979266347688,112.24503056012526,113.65685805422648,120.0157407473277
38 Malignant,38 Malignant_img.png,127.9460614152203,90.17613547045626,127.53849577214064,88.93386736073276,124.21619937694705,110.47370262698323,111.93876279483756,120.15040117465342,78.202492211838,113.87411218108589,131.5322652425456,89.39228291700267,129.93395638629283,88.13757956973343,127.96866933689364,110.05399612212314,113.56448598130841,120.40371786768121,79.34196706720071,114.65899836806116,133.68607031597685,87.71136352041336,130.21183800623052,86.32502094560434,129.8869603916333,108.7665417708259,113.8070315976858,120.70653361801826,83.48473520249222,117.27233874992777,134.09497107254117,86.17147272556349,131.05358255451713,84.44440148401766,130.83649310191367,106.57267970888148,116.70200267022697,120.94094094884267,87.628927458834,119.31997200221484,134.91330663106365,84.67098003898258,132.67263017356476,82.22878410754849,129.3099243435692,103.13612439479664,117.92897196261683,119.94225257882557,92.168580329328,120.63283611432614,134.3357365376057,83.77800874162666,132.12318647085002,80.67154474611519,129.78299955496217,98.92982905701899,120.93386737872719,117.95911878236878,99.05367156208278,121.8954620214366,133.3927903871829,83.01028274812985,131.08277703604807,79.31167331215646,129.6896306186026,95.03811370547548,123.00685358255451,115.3344983254587,104.45536270583,122.05009235375462,131.65651980418335,82.75855225601065,129.62501112594572,78.75782689928076,129.00961281708945,92.46956124196159,122.86372941700044,113.21974898130263,107.04655095683133,121.23325733444908
15 Malignant,15 Malignant_img.png,128.01746869770932,101.406802064809,127.76685563441232,100.6171233531357,117.614974611967,117.17397893365458,93.72570826842075,120.10203258341006,63.1101133806474,108.7764993576118,128.65692977900872,100.54896759452492,128.44403813974958,99.60957081932862,119.41837603138885,116.63330260569606,94.82260111938146,120.35922387720714,63.41421441347874,109.02548224676758,126.88875425538053,99.36842933263847,127.30340863193122,97.9878025751243,120.48540909353183,115.09083385787407,97.30446887080953,120.76868267673683,64.69178062431482,109.90767708625579,125.52575587098264,97.97689001518799,125.947132306272,96.01845550631154,121.00080780105014,112.65529821519065,101.79856903813975,121.08274009735773,68.68725116842651,112.05863216146564,124.01234060354278,96.47661472997251,125.00206277768162,93.80455915974377,120.87443021175928,109.4260877977143,107.21783220818187,120.6109699835536,77.49412180485835,115.91515269483226,122.77807829900179,95.18470714459421,124.3011366914777,91.77522850073036,121.21113178697132,105.82818453972938,111.42995210893774,118.75864449872553,88.2131152270498,119.12859631620042,122.34612832496683,94.20485432945775,124.33603802434943,90.29684003222707,121.39751024176331,102.3891328743339,114.94161473659916,115.9442563039226,97.23039639951531,120.05499961572576,121.9267136922278,93.6045788396535,124.23272604004386,89.34848979387738,122.4944680053084,100.09663965194098,117.11170734521954,113.56554068601481,103.44041024753332,119.5293680733601
44 Malignant,44 Malignant_img.png,125.74194177671069,98.96593310304812,125.95074279711885,98.1004524286466,119.85871848739495,116.51714936418915,97.03791266506603,120.94295132290537,65.99415516206483,110.5168247407237,125.87843637454982,98.87254497713789,126.35853091236494,97.86493185742086,120.19575330132052,116.13993081358589,97.67150360144058,121.07314715106943,66.1079681872749,110.66844653991132,125.22132352941176,97.79267502427946,125.89143907563025,96.3719405849687,120.73470138055222,114.76828985585887,100.63827280912365,121.54364856577523,67.00999399759904,111.28309260997511,124.97671068427371,96.15640566059317,125.64934723889556,94.0603359447716,121.78305072028812,112.45932137409687,105.5328706482593,121.81768081397806,71.73862545018007,113.67252538710717,125.12400960384154,94.50441747208542,125.88677971188476,91.3759589423988,122.22507503001201,109.19350747789221,111.04654861944778,121.22571343791775,80.309393757503,117.15838708286385,124.91541116446578,93.1667860216185,125.99019357743097,88.98791497151134,122.91445828331332,105.29852014334965,115.3250975390156,119.38759125279121,91.29308973589436,120.24925044739622,124.3265756302521,92.20883367997793,125.20644507803121,87.1919202814259,123.3516131452581,101.46961433454885,118.74705132052821,116.70324431631002,100.91891506602641,121.36802861425768,123.83565426170468,91.60589414562254,124.89308973589436,85.9903436028984,123.83260054021609,98.65328876770288,119.9500075030012,114.19215681788934,106.80726290516206,120.85149289771124
45 Benign,45 Benign_img.png,124.9759148486981,88.40119844480799,125.36166432090077,87.31647973389819,121.78314567206193,109.96494731741272,107.99792399718508,120.68223331682356,85.08676988036594,117.88775778297612,124.98946164672766,88.0108684238688,125.42855383532724,86.85518291000743,121.37549261083744,109.32032106538873,108.339039408867,120.80375815062094,83.91106615059817,117.70736605033963,127.08777269528501,87.58680896424681,126.99048205489092,86.1094141647134,121.92325826882477,107.63960831821208,109.49271639690359,120.95299589707412,82.05624560168896,117.42458426815534,126.58166783954961,86.44176027061266,126.70510204081633,84.42004709290522,123.35585855031668,105.032771690281,112.06648486981,120.76159898233307,83.97081280788177,118.2729869716368,125.64213581984518,84.53879259836037,126.2152533427164,82.18635380556483,123.78643560872625,101.71614237507576,114.82920478536242,119.77626059613678,89.16206896551724,119.83337929586834,125.59074595355384,82.89220083154747,126.14317382125265,80.56068855193608,123.71778676988036,98.2503351679721,117.18944405348346,117.87025946315676,95.88638282899366,121.1667785207896,125.73075299085151,81.88420183140771,125.61560520760028,79.6172193993236,123.57656579873328,95.24326928751982,118.90679099225898,115.35446199958578,102.21558761435608,121.40346351470737,125.4732054890922,81.43154985391618,126.22769176636172,78.99385295002972,123.87964461646727,93.30795792114877,120.0420830401126,113.14431967580572,106.70492610837438,120.62554488948626
