CaseID,Image_filename,Feature__00,Feature__01,Feature__02,Feature__03,Feature__04,Feature__05,Feature__06,Feature__07,Feature__08,Feature__09,Feature__10,Feature__11,Feature__12,Feature__13,Feature__14,Feature__15,Feature__16,Feature__17,Feature__18,Feature__19,Feature__20,Feature__21,Feature__22,Feature__23,Feature__24,Feature__25,Feature__26,Feature__27,Feature__28,Feature__29,Feature__30,Feature__31,Feature__32,Feature__33,Feature__34,Feature__35
102 Malignant,102 Malignant_img.png,0.004317976513098464,0.03001806684733514,0.03488708220415537,0.0013911472448057815,0.09743450767841012,0.0022854561878952124,0.002899728997289973,0.002999096657633243,0.32000903342366754,0.006612466124661247,0.0033875338753387536,0.00020776874435411022,0.004281842818428185,0.0035049683830171634,0.0025293586269196024,0.004290876242095754,0.2159620596205962,1.8066847335140017e-05,0.0027009936766034326,1.8066847335140017e-05,4.516711833785005e-05,0.002791327913279133,0.0012827461607949414,1.8066847335140017e-05,0.002890695573622403,0.002944896115627823,0.002999096657633243,0.08850948509485095,0.0,0.00016260162601626016,2.7100271002710027e-05,0.002168021680216802,0.002944896115627823,0.002158988256549232,0.07017163504968384,0.08112917795844625
24 Benign,24 Benign_img.png,0.007007176023638666,0.032672013507809204,0.03647108484592655,0.0009286618826509076,0.1167581257914732,0.0029548332629801602,0.002532714225411566,0.003799071338117349,0.33119459687631914,0.00599409033347404,0.003208104685521317,0.0,0.004305614183199662,0.003799071338117349,0.003208104685521317,0.003883495145631068,0.2061629379485015,0.0,0.0034613761080624734,0.0,0.0,0.0022794428028704095,0.0009286618826509076,0.0,0.0033769523005487546,0.0028704094554664415,0.002532714225411566,0.08788518362178134,0.0,8.442380751371887e-05,8.442380751371887e-05,0.0023638666103841283,0.002532714225411566,0.0018573237653018151,0.06255804136766568,0.06230476994512452
36 Benign,36 Benign_img.png,0.00537469809844542,0.024832465897880737,0.03360887165357009,0.001020512297173181,0.11069156716671769,0.0019729904412014833,0.002823417355512467,0.0033336735040990577,0.3323468381127326,0.004422219954417117,0.0028574344320849068,0.0001020512297173181,0.0034697418103888152,0.002245127053780998,0.0029594856618022245,0.0032316222743817395,0.203932374051774,3.4017076572439365e-05,0.0028574344320849068,6.803415314487873e-05,0.0,0.0027553832023675885,0.0014287172160424534,0.0,0.0032996564275266185,0.002619314896077831,0.0026533319726502703,0.08092662516583325,0.0,0.0001020512297173181,0.0,0.0018029050583392864,0.00268734904922271,0.0015307684457597714,0.05578800557880056,0.10222131510018029
106 Malignant,106 Malignant_img.png,0.005234159779614325,0.028937098255280073,0.0358356290174472,0.0014921946740128558,0.10495867768595041,0.0024104683195592287,0.0027089072543618,0.0030417814508723598,0.34834710743801656,0.006290174471992654,0.0031565656565656565,0.00010330578512396694,0.0036271808999081725,0.0033402203856749313,0.002777777777777778,0.0037419651056014693,0.20985996326905418,0.0,0.0028581267217630854,2.295684113865932e-05,3.443526170798898e-05,0.003007346189164371,0.0012396694214876034,3.443526170798898e-05,0.003007346189164371,0.0026859504132231405,0.003179522497704316,0.08212809917355372,0.0,1.147842056932966e-05,3.443526170798898e-05,0.0018135904499540863,0.0032254361799816346,0.001721763085399449,0.06363636363636363,0.06549586776859505
23 Benign,23 Benign_img.png,0.004734848484848485,0.0257260101010101,0.039299242424242424,0.0015782828282828283,0.11221590909090909,0.0014204545454545455,0.003945707070707071,0.0025252525252525255,0.3972537878787879,0.004419191919191919,0.002683080808080808,0.0,0.002840909090909091,0.003472222222222222,0.0033143939393939395,0.0025252525252525255,0.20943813131313133,0.0,0.0031565656565656565,0.0,0.0,0.0029987373737373735,0.0007891414141414141,0.0,0.0015782828282828283,0.0031565656565656565,0.003630050505050505,0.07039141414141414,0.0,0.00015782828282828284,0.0,0.001736111111111111,0.001893939393939394,0.002051767676767677,0.04450757575757576,0.04655934343434343
34 Malignant,34 Malignant_img.png,0.004186602870813397,0.02974481658692185,0.03604465709728868,0.0015151515151515152,0.09704944178628389,0.0036283891547049443,0.0030303030303030303,0.002631578947368421,0.35781499202551836,0.008492822966507177,0.004346092503987241,0.0001594896331738437,0.004784688995215311,0.00386762360446571,0.0029904306220095694,0.004027113237639554,0.21710526315789475,0.0,0.00259170653907496,3.9872408293460924e-05,3.9872408293460924e-05,0.0033492822966507177,0.0013955342902711324,3.9872408293460924e-05,0.001993620414673046,0.0024322169059011163,0.0028708133971291866,0.08313397129186603,0.0,0.00011961722488038278,7.974481658692185e-05,0.001993620414673046,0.0033492822966507177,0.0015151515151515152,0.06431419457735248,0.04932216905901116
38 Malignant,38 Malignant_img.png,0.005073431241655541,0.026168224299065422,0.03302180685358255,0.0015131286159323543,0.11375166889185581,0.0032042723631508676,0.002937249666221629,0.004895416110369382,0.3851357365376057,0.005518469069870939,0.0032932799287939477,0.0,0.003115264797507788,0.0035603026257231864,0.0027592345349354694,0.003738317757009346,0.20801068090787717,0.0,0.0026702269692923898,0.0,0.0,0.0032932799287939477,0.0011570983533600355,0.0,0.0030262572318647085,0.002403204272363151,0.0030262572318647085,0.08019581664441477,0.0,0.0,0.0,0.00258121940364931,0.003471295060080107,0.002136181575433912,0.05180240320427236,0.03854027592345349
15 Malignant,15 Malignant_img.png,0.004125555363221972,0.031222953089839016,0.032622179908833884,0.0011323639720731637,0.09276729559748427,0.0024161906410478332,0.0025099532629392417,0.002928278806762449,0.3274839882291847,0.007825572673244475,0.00336102936933818,0.0001947377531590791,0.004190467947608332,0.00365674225376493,0.0022214528878887543,0.003916392591310369,0.21474525416883042,7.212509376262189e-06,0.0024306156598003577,2.8850037505048756e-05,1.4425018752524378e-05,0.0030292539380301193,0.0012766141595984075,1.4425018752524378e-05,0.0023945531129190467,0.002596503375454388,0.0031590791068028387,0.081068605389187,0.0,7.212509376262188e-05,2.8850037505048756e-05,0.0021493277941261324,0.002675840978593272,0.0019257400034620046,0.0688794645433039,0.09092810570653742
44 Malignant,44 Malignant_img.png,0.003713985594237695,0.03010204081632653,0.034048619447779115,0.0012755102040816326,0.0981467587034814,0.002656062424969988,0.0029486794717887154,0.0027536014405762305,0.3548169267707083,0.007788115246098439,0.0035714285714285713,0.00013505402160864346,0.00468187274909964,0.0033088235294117647,0.002393457382953181,0.004149159663865546,0.2249324729891957,0.0,0.002430972388955582,2.2509003601440575e-05,1.5006002400960385e-05,0.0027160864345738295,0.0012229891956782714,3.751500600240096e-05,0.002581032412965186,0.0026035414165666267,0.003158763505402161,0.08437124849939975,1.5006002400960385e-05,9.75390156062425e-05,2.2509003601440575e-05,0.0017106842737094838,0.0029036614645858343,0.0019357743097238895,0.06332533013205283,0.049407262905162064
45 Benign,45 Benign_img.png,0.004152005629838142,0.02232582688247713,0.035274454609429975,0.0011787473610133708,0.12172765657987333,0.001988036593947924,0.0021815622800844476,0.002533427163969036,0.39085151301900073,0.004398311048557354,0.0029732582688247714,0.0001055594651653765,0.003518648838845883,0.00241027445460943,0.002744546094299789,0.003589021815622801,0.2190710767065447,3.518648838845883e-05,0.0027269528501055597,3.518648838845883e-05,0.0,0.0031667839549612948,0.001266713581984518,0.0,0.0026917663617171007,0.0024982406755805773,0.002885292047853624,0.07237860661505982,0.0,7.037297677691766e-05,1.7593244194229415e-05,0.0019176636171710064,0.0022167487684729066,0.0015482054890921886,0.048733286418015484,0.03678747361013371
