CaseID,Image_filename,Feature__00,Feature__01,Feature__02,Feature__03,Feature__04,Feature__05,Feature__06,Feature__07,Feature__08,Feature__09,Feature__10,Feature__11,Feature__12,Feature__13,Feature__14,Feature__15,Feature__16,Feature__17,Feature__18,Feature__19,Feature__20,Feature__21,Feature__22,Feature__23,Feature__24,Feature__25,Feature__26,Feature__27,Feature__28,Feature__29,Feature__30,Feature__31,Feature__32,Feature__33,Feature__34,Feature__35,Feature__36,Feature__37,Feature__38,Feature__39,Feature__40,Feature__41,Feature__42,Feature__43,Feature__44
1,001_img.png,0.515213922167508,0.43843953686117615,0.22447118550527662,0.17123508579209842,0.016560105105708173,0.5065939912628908,0.42559127751473946,0.3039037431981231,0.24673961826390037,-0.19027725154621378,0.5066802396293515,0.375337741407424,0.2594248490330454,0.20066594763272166,0.0650512694598152,0.4983230508475104,0.35140820057090116,0.21919817608679174,0.2268480100608384,0.3762537656167857,0.5451478862348256,0.47477255741454605,0.4103672949895513,0.3504728720944348,0.21228128088178677,0.5047361476232363,0.3950879124237169,0.32909674173730674,0.3413253670170342,0.2673857785050032,0.5418219185113112,0.45049282419628695,0.31663622258614954,0.282218686821705,0.24531696686345042,0.5357725377182523,0.46657982322488495,0.33987406485193855,0.36805123792128747,0.2359305715882412,0.49903639014187584,0.3918033674226476,0.2482252990743507,0.28430395959831095,0.46554963184098064
2,002_img.png,0.5735925046801013,0.5280156175622341,0.34664610433687487,0.04629223441660189,0.0,0.5476572357807532,0.4948692130720886,0.3529603981750544,-0.2695595954285128,0.0,0.5387835110602037,0.4254120345090826,0.3887165101419114,0.05083555141596746,0.0,0.5001848235599274,0.4172900114010084,0.20191930256192692,0.028213817178453164,0.0,0.5083911660030642,0.38508209205959437,0.3369451389154253,0.5248391815148657,0.0,0.48183312664848954,0.30520710918568583,0.21518426261051482,0.10940455100156278,0.0,0.5472052973856528,0.4771680129052974,0.32937046300462053,-0.10675619416089802,0.0,0.5126419681951042,0.4373336008720873,0.46792865156187274,-0.01466096280540774,0.0,0.5494433685828066,0.5390455779383626,0.29939980892600293,0.01908035724403764,0.0
3,003_img.png,0.458115134539341,0.285383032068209,0.134980027707459,0.09368513949820458,0.0,0.5245302150773972,0.26466619224526744,0.13282638732295413,0.6033418647315654,0.0,0.5729839302284611,0.44578494449429423,0.34247344228487314,0.4251873115253594,0.0,0.5411481948528946,0.4074384942553146,0.09160037755114928,0.38331998430735853,0.0,0.5019611612636921,0.25644904023668896,0.13505019193227322,0.6858030081690394,0.0,0.5237041446749133,0.326725489188844,0.1459137481929631,0.442462360853935,0.0,0.5412339094775448,0.48357129080046635,0.09135113337126773,0.3293704757306477,0.0,0.5503223050481497,0.490788078141825,0.2829963027390118,0.6118513262949041,0.0,0.5729524113661963,0.48658632328394186,0.3553580436464355,0.7548411667362106,0.0
4,004_img.png,0.5160780254755147,0.4095275972853535,0.06362556524154014,0.0,0.0,0.5116363445109178,0.4688792257647306,-0.0932808297543826,0.0,0.0,0.48207221618936197,0.48716908868256575,0.32266221803210754,0.0,0.0,0.4688529917944051,0.32664252061397936,0.4268136255653752,0.0,0.0,0.4999202345717593,0.3555494425367192,0.28372916379222346,0.0,0.0,0.5097021965525571,0.428957546518585,0.2905339289178084,0.0,0.0,0.5092153570473147,0.5289874390977676,0.1917677394836177,0.0,0.0,0.5108885489988418,0.36056049782049804,0.19881612028856616,0.0,0.0,0.5710734826624082,0.5737424877286239,0.3862970124512757,0.0,0.0
5,005_img.png,0.5103101183126133,0.4469497063895669,0.3881144333361727,0.33885460955417224,0.3287196474293059,0.48913019959151205,0.39725363410933495,0.3856192726057018,0.3751063936688252,0.3459722181677762,0.4779653515271463,0.3483612385929615,0.28738608388389403,0.29253750971574116,0.23528381670649773,0.553425073854646,0.5220264928261696,0.4518388246115868,0.3498031286416043,0.2957263133132173,0.4638496711304454,0.412464816144628,0.40165538382949256,0.37463895234434996,0.39331960132492955,0.44132095427112245,0.34147576330526425,0.2908043435294404,0.29878115156525636,0.3968547960981656,0.4966481899830604,0.41044715285998273,0.3066601203186207,0.2803416621641486,0.32556451236242523,0.472731206129103,0.4366593511784948,0.41167302588846877,0.3010957524982308,0.2568468943034486,0.5042929246752292,0.4786965469314693,0.43497611327341174,0.4570317980036638,0.27997089935853603
6,006_img.png,0.5028433020705754,0.40599196695280404,0.2655444529334242,0.3095631097442025,0.13733679209502933,0.5003809443739461,0.39742919176564945,0.3355087567241054,0.25599465784048525,0.16090582339309345,0.5268213045015862,0.4692209628444207,0.4135398938124161,0.3228601462604154,0.05690850799922625,0.5118907661263464,0.4547564179419698,0.3787521416354299,0.2722535590376701,0.16215446174702505,0.5310373353996807,0.4730827797602456,0.4031990636740499,0.30464021013289416,-0.11108987715259643,0.5410502436757899,0.48547689268186867,0.3891636561716557,0.25785565977838093,0.16821566452447784,0.5372623552088622,0.46842561679284733,0.4304844098978737,0.40639230419474504,0.5034669418123485,0.5175115682832419,0.43572431460133776,0.39399777782872797,0.36023708615203764,-0.024388136680475507,0.5515869905146312,0.49775516743661086,0.4066800003657616,0.3309439069238575,0.19449518523759685
7,007_img.png,0.4919106574865392,0.3996029258214745,0.3057205694985729,0.21445094076004306,-0.03304993833409616,0.5100549055647096,0.41684568469372446,0.3614275688460286,0.36976378945625366,0.20396177523928138,0.5074440930242952,0.37327237082215997,0.27411232660117596,0.19258043852373,0.17381145412710683,0.5185570274802641,0.4300604445518809,0.32487122585248096,0.2332454365852091,0.2667474842415013,0.5074433726820222,0.40419169059919186,0.3481468877403337,0.1743531116156802,0.3769738695631196,0.5015015483194831,0.429693147795864,0.41467712151223585,0.36284697865184956,0.39876809467882296,0.48500466101204137,0.39705283803372915,0.3037366481265877,0.1893828483929248,0.3338546176560266,0.49872328757307227,0.3950789423631507,0.3988282767701393,0.3857371725013782,0.1636064078646349,0.5062620410503892,0.408111503135294,0.3633082120909588,0.34569481607542984,0.13553017454303493
8,008_img.png,0.5473724024801051,0.46863683825492347,0.2970001807818519,0.06714243159522283,0.0,0.5127841343575664,0.3961773160043583,0.3259814831917802,0.23021004380299948,0.0,0.5178353022747673,0.46577581022355835,0.42654697194156754,0.21057848446041122,0.0,0.5215418951598685,0.4315988467921992,0.27576233301912345,0.0006930699779304363,0.0,0.5047296332713821,0.41719142580347784,0.31887777093151826,0.1995972742855471,0.0,0.5164776554255711,0.33719753838203964,0.40001243136374487,0.2019717151482653,0.0,0.5252403671681278,0.366132566648957,0.31437612110061,0.11961410425723681,0.0,0.5600360753954405,0.42418705473252133,0.08782241047750754,-0.06680510267266322,0.0,0.5416223385351508,0.38534418772031254,0.2598362220974078,0.04385183532734737,0.0
9,009_img.png,0.5484822572633852,0.4635496649828867,0.4085759935123366,0.37705007710356414,-0.014646674590542476,0.566744480972025,0.5047712176397415,0.3793603430419607,0.20054837162325315,-0.09524175502816773,0.528750612549849,0.43391420508563877,0.3345417194655734,0.366255300092321,0.36974757758613885,0.5593032118801824,0.49399911847381023,0.429334455759875,0.3592421699832105,0.35734364182504236,0.5707784278060414,0.49785928179200456,0.4181937771605815,0.3714921800865178,0.1483749517846457,0.5328240823501943,0.447877609337577,0.4096465016845941,0.426300764579548,0.5194718680859739,0.5516635932270035,0.4430200635176592,0.26986531465560676,0.1831200580697282,-0.03973641845857635,0.55764017933291,0.4956068066912575,0.4110554062611199,0.2525750091154982,0.513193874410346,0.5486467549952844,0.46104102778115447,0.3851399121707662,0.26704356750492814,0.23931596826118715
10,010_img.png,0.5077872796209314,0.37918366582984436,0.24749563166139366,0.07052891975020123,-2.864409053244343e-17,0.5103063015880648,0.382480553160382,0.32420791791588494,0.3551776750597409,9.035255114516597e-17,0.4965546793267626,0.3560184038868694,0.2812467318618119,0.30328423881831085,3.4175491121763726e-16,0.5331256509110253,0.41997023856332766,0.31860424280627053,0.39295560836962434,1.6158117960977932e-18,0.5122032045359637,0.3319394867405841,0.23610019369141783,0.3029445156410197,1.0976221179005894e-15,0.5161153194464979,0.3923187424560229,0.29430395735623416,0.1754225933030527,5.41493911687025e-16,0.5513140505929472,0.4549192955230912,0.26593032447141773,0.1784565692844785,1.2150909825021203e-15,0.5613602815079566,0.4682210731811908,0.35194198243217445,0.4589407135989384,-2.541699036902495e-16,0.5575972803890691,0.452454758470786,0.32985545488174506,0.2801062934724078,6.192556919062697e-16
11,011_img.png,0.4761924000084771,0.39309888207059646,0.34500988229505336,0.21285643640339347,0.24540940523719385,0.4885318683030843,0.4075720649029088,0.40074053111992797,0.35595978096942105,0.32132311132718233,0.48769721490442475,0.3945426314149307,0.3762296744835044,0.3779877828997541,0.17296663970941112,0.4935180290363377,0.41330401660093613,0.37561991459658345,0.34563762069131787,0.33696986383322736,0.4934045643919395,0.38793946728792006,0.4003620905168057,0.40604980194784845,0.22142495331405318,0.49406032061999244,0.4298775335581869,0.43652595252080423,0.3770644562588059,0.17598151840240478,0.5133798155379836,0.4124359615807051,0.3595798814931205,0.31985831517361424,0.3749732675756452,0.4881064204461804,0.41507569241609676,0.40883233605264274,0.3057646957812233,0.10934696868210492,0.5038685439605934,0.4224041349990635,0.3924830908590358,0.3683019109693595,0.3195408284205158
12,012_img.png,0.495729719519983,0.3539667135470646,0.3372150074996839,0.33526256819725414,0.17592617125422563,0.49277334151546864,0.3484133399398788,0.29135705518346694,0.3645008667748029,0.24203918440492098,0.5061665237404672,0.37119597094908807,0.21769206219335108,0.2954116131533913,0.05607995475962069,0.493504514309646,0.32793133681171044,0.2646093990461509,0.2443748369465243,0.25200954400619346,0.4996504105855031,0.33508383717584306,0.2560225248960977,0.18910938387889034,0.23347024594546928,0.5282826631817309,0.41006441338708116,0.24074379766919088,0.19438516591937371,0.14607945692447938,0.5398364314874219,0.4545390088946807,0.4113850724076587,0.3585617610880723,0.29819700148736944,0.5546459367092414,0.4185219655289437,0.377198144911256,0.33490627282050417,0.344530981985925,0.5328513166715639,0.4406061697756732,0.3923932602234898,0.28271582327644373,0.2505506999655781
13,013_img.png,0.47888176129935467,0.31505667010433247,0.14104630351941685,0.3207655081759846,0.22764709632657462,0.4914447408504836,0.4217400416249605,0.42970452614431875,0.47596713860863316,0.2421382974604697,0.4904387538302735,0.3912562325552579,0.3755858260076626,0.31826105951087913,0.20874760638967996,0.4771087355158449,0.39929678572367183,0.43275657747648344,0.5045746498945074,0.33219825126476105,0.4920829582583851,0.37945599431454946,0.3481260766423355,0.33117735409958104,0.23598801722139343,0.5036123700210208,0.4544159835778149,0.47661736445305847,0.3568784116528876,0.2147421344255897,0.5124246215148194,0.4566777042682786,0.4517525932548025,0.447709222012059,0.19324715359970157,0.5081816994517642,0.40901140273804126,0.35225233741672923,0.2676187466292526,0.13042419812364367,0.46633935717154873,0.3925837155800448,0.4236788522921181,0.45048527653771847,0.23599868947953656
14,014_img.png,0.5029916909021046,0.45347858042006284,0.4203659338062657,0.22314099556331962,-0.21422715140160517,0.5039919133713591,0.427038243842522,0.3796998902715513,0.43482626087029674,-0.10062069436378801,0.48929606022432676,0.42642541959920544,0.44098460318388527,0.4094081069642095,0.13852033569355435,0.5168454704418364,0.3880025813232083,0.34559453246937055,0.33688106770482473,0.27498550322983745,0.5284594030468067,0.43154268016676267,0.29994935042007875,0.16157505702984457,0.243053933924394,0.5191371362240143,0.4230186788984416,0.3178854604939994,0.2571527429606256,0.2141207520702022,0.5161990581458747,0.46829683806911376,0.45124860016829704,0.428647985271875,0.14310509265549404,0.5161214701116175,0.4379024059727777,0.33163590681913163,0.2608314828756267,-0.14565321309461607,0.5398155216640498,0.4486766554975105,0.34834418880789075,0.2340007268213613,0.5324396917536981
