CaseID,Image_filename,Feature__00,Feature__01,Feature__02,Feature__03,Feature__04,Feature__05,Feature__06,Feature__07,Feature__08,Feature__09
1,001_img.png,0.007003593292520628,0.05120441841895129,0.028546712802768166,0.11994277348948629,0.3449560819803034,0.20401916422677668,0.07153313814213468,0.057076789992014904,0.06922078786265637,0.04649653979238754
2,002_img.png,0.0043235453071518645,0.04791929382093316,0.02927400468384075,0.10268420104485679,0.4185732300486399,0.19744190235993514,0.05620608899297424,0.05503512880562061,0.052783282291479015,0.03575932264456855
3,003_img.png,0.005739657786441412,0.05057396577864414,0.02252544942603422,0.099848386398094,0.4021009313406974,0.1987221139267923,0.049924193199047,0.056313623565085555,0.07418236950400693,0.04006930907515703
4,004_img.png,0.005932203389830509,0.0519774011299435,0.03531073446327684,0.12401129943502825,0.3002824858757062,0.211864406779661,0.06440677966101695,0.05903954802259887,0.09322033898305085,0.053954802259887004
5,005_img.png,0.008021319120586276,0.055118809682433934,0.030592938041305796,0.11402176326893182,0.2534576948700866,0.17534976682211859,0.056824339329336,0.07932489451476793,0.18197646013768598,0.04531201421274706
6,006_img.png,0.007564581975367937,0.046159387972143126,0.035129850080620265,0.13852962365775842,0.34951456310679613,0.20288860681326976,0.07571443274211809,0.0534666712408659,0.049384198428762564,0.04164808398229785
7,007_img.png,0.007529180075892213,0.049678178586867766,0.03224218262164369,0.13173063067390364,0.2998462942504443,0.20786300975070848,0.08458619530236802,0.06159037417743408,0.07240981795475288,0.05252413660598492
8,008_img.png,0.009180609180609181,0.040926640926640924,0.03972543972543972,0.14328614328614328,0.3776061776061776,0.18773058773058773,0.05954525954525954,0.050278850278850276,0.050793650793650794,0.040926640926640924
9,009_img.png,0.0046987285793255945,0.02879122903998526,0.023079049198452183,0.1150497512437811,0.3658328726736687,0.26064123825317853,0.06592039800995025,0.04016952275658743,0.058918371107425836,0.036898839137645106
10,010_img.png,0.00866618044532155,0.04242996267536145,0.03951263460465915,0.14016045304388863,0.37530567591917285,0.18924020764511562,0.07014457934703333,0.04448925307821013,0.04920846025140504,0.040842592989832255
