0,0
1,1
2,1
3,2
4,1
5,3
6,2
7,4
8,1
9,5
10,3
11,6
12,2
13,7
14,4
15,8
16,1
17,9
18,5
19,10
20,3
21,11
22,6
23,12
24,2
25,13
26,7
27,14
28,4
29,15
30,8
31,16
32,1
33,5
34,9
35,13
36,5
37,17
38,10
39,18
40,3
41,17
42,11
43,19
44,6
45,20
46,12
47,21
48,2
49,10
50,13
51,22
52,7
53,23
54,14
55,24
56,4
57,18
58,15
59,25
60,8
61,26
62,16
63,27
64,1
65,3
66,5
67,7
68,9
69,11
70,13
71,15
72,5
73,17
74,17
75,20
76,10
77,23
78,18
79,26
80,3
81,11
82,17
83,23
84,11
85,28
86,19
87,29
88,6
89,19
90,20
91,30
92,12
93,29
94,21
95,31
96,2
97,6
98,10
99,14
100,13
101,19
102,22
103,25
104,7
105,20
106,23
107,30
108,14
109,30
110,24
111,32
112,4
113,12
114,18
115,24
116,15
117,29
118,25
119,33
120,8
121,21
122,26
123,32
124,16
125,31
126,27
127,34
128,1
129,2
130,3
131,4
132,5
133,6
134,7
135,8
136,9
137,10
138,11
139,12
140,13
141,14
142,15
143,16
144,5
145,13
146,17
147,18
148,17
149,19
150,20
151,21
152,10
153,22
154,23
155,24
156,18
157,25
158,26
159,27
160,3
161,7
162,11
163,15
164,17
165,20
166,23
167,26
168,11
169,23
170,28
171,29
172,19
173,30
174,29
175,31
176,6
177,14
178,19
179,25
180,20
181,30
182,30
183,32
184,12
185,24
186,29
187,33
188,21
189,32
190,31
191,34
192,2
193,4
194,6
195,8
196,10
197,12
198,14
199,16
200,13
201,18
202,19
203,21
204,22
205,24
206,25
207,27
208,7
209,15
210,20
211,26
212,23
213,29
214,30
215,31
216,14
217,25
218,30
219,32
220,24
221,33
222,32
223,34
224,4
225,8
226,12
227,16
228,18
229,21
230,24
231,27
232,15
233,26
234,29
235,31
236,25
237,32
238,33
239,34
240,8
241,16
242,21
243,27
244,26
245,31
246,32
247,34
248,16
249,27
250,31
251,34
252,27
253,34
254,34
255,35
