CaseID,Feature__00,Feature__01,Feature__02,Feature__03,Feature__04,Feature__05,Feature__06,Feature__07,Feature__08,Feature__09,Feature__10,Feature__11,Feature__12,Feature__13,Feature__14,Feature__15,Feature__16,Feature__17,Feature__18,Feature__19,Feature__20,Feature__21,Feature__22,Feature__23,Feature__24,Feature__25,Feature__26,Feature__27,Feature__28,Feature__29,Feature__30,Feature__31,Feature__32,Feature__33,Feature__34,Feature__35,Feature__36,Feature__37,Feature__38,Feature__39,Feature__40,Feature__41,Feature__42,Feature__43,Feature__44,Feature__45,Feature__46,Feature__47,Feature__48,Feature__49,Feature__50,Feature__51,Feature__52,Feature__53,Feature__54,Feature__55,Feature__56,Feature__57,Feature__58,Feature__59,Feature__60,Feature__61,Feature__62,Feature__63,Feature__64,Feature__65,Feature__66,Feature__67,Feature__68,Feature__69,Feature__70,Feature__71,Feature__72,Feature__73,Feature__74,Feature__75,Feature__76,Feature__77,Feature__78,Feature__79
1,123.50441142326446,101.72008055930108,122.87180752263757,102.21477368643819,106.5536045971674,117.58722081190461,72.83953447875551,111.97231917219648,52.2560947295101,100.66071982090448,121.1472602739726,99.46012393241718,120.83721267703739,100.03897080287459,106.27426282795449,116.00044312004994,73.76340840492222,112.44078044393459,52.94581495240306,101.36873215281419,119.80656489435802,97.22813354898602,119.72971325748782,97.48690442966593,108.90788251683307,113.85552543269593,77.47309612259113,114.06440048591249,51.64267471557929,100.83887127799125,118.10082423960993,95.55541173397452,117.99770722080335,95.49326179931924,110.93467030415603,111.04549589072532,86.04150220571164,116.89598674101376,53.225940329695845,102.18077418094143,117.04994775946135,94.35291441595905,117.37990480612956,94.11565353956642,113.91548641745995,108.013610959709,97.05560715114929,118.45517088414245,62.93533782214999,108.43494088114211,116.75653006733225,93.54498162025746,118.21981657766426,92.82715992803689,116.62285233341073,104.95274705508612,107.12160436498723,117.56161045205712,77.13211051776179,114.83659040450243,116.71192245182262,92.82075120685364,118.90280357557465,91.80050647782932,118.0735140469004,102.32572900994633,112.58065358718366,114.7018525206318,89.92210355235663,117.80420324915134,116.38774088692826,92.18221754322343,118.35686092407708,91.16339681407855,119.48464708613885,100.7701418315123,114.40500928720687,112.25011526206357,97.02667169723705,117.5275111780146
2,128.06780952380953,99.42453070862535,128.00542857142858,100.12480625536045,111.49047619047619,118.16161654100186,77.19619047619048,113.87591486125382,49.09904761904762,98.21192973335833,118.96561904761904,98.63638012729777,119.74571428571429,99.32293892106881,105.07257142857142,115.89633820608066,73.49561904761904,112.36210884731909,47.27285714285714,97.14625266124499,118.934,97.88946694735903,118.68819047619047,98.17617940922477,105.45257142857143,113.81893531502084,74.07980952380953,112.96942237767117,50.32238095238095,100.24066836534493,121.90885714285714,97.11165972675141,121.15495238095238,97.05469488532458,109.13666666666667,111.78926385256509,80.5255238095238,115.58411826957108,52.87885714285714,102.44920967241963,123.27857142857142,96.31778067495979,122.446,95.53611751932704,112.942,109.35262998034865,91.30685714285714,118.02562324959688,62.34304761904762,108.60156288556904,124.73019047619047,95.09140596570832,124.92180952380953,93.96404317641381,117.43676190476191,106.72802952672552,103.32857142857142,118.18249504920102,79.01866666666666,116.24342125423223,125.48504761904762,93.76617658657305,123.77409523809524,92.17600666731981,120.14895238095238,104.02123548697077,111.54171428571429,115.641026963017,91.62657142857142,118.6377843877547,125.09552380952381,92.7505570203369,124.32019047619048,91.16935132442318,121.97295238095238,101.98014107260397,114.22571428571429,112.4243309783001,99.95904761904762,117.8303059045896
3,126.58327132936508,98.13247057505218,125.68784102182539,98.69389195388177,112.83469742063492,117.96906602851693,80.03028893849206,115.0491879321194,56.34781125992063,103.49812921635737,123.87354290674604,95.66307552950762,123.48611111111111,96.11176519698982,112.03326512896825,116.10222132652339,81.35317460317461,115.54082503317387,56.96313864087302,104.04864670942922,123.56770833333333,93.60086718457588,123.42807539682539,93.61627419213677,113.97631448412699,113.05978644952505,86.0886966765873,117.12361846652122,55.91865079365079,103.84763175869712,122.32403273809524,91.04522358915773,123.17131696428571,90.6496233144152,116.50049603174604,109.1291792561959,95.02969990079364,119.18713682558938,58.5315910218254,105.80060010774103,121.26903521825396,89.25304062843117,121.8952132936508,88.39769454121823,119.27985491071429,104.77434042567721,106.6824466765873,119.52392961831805,71.18216765873017,112.76443645683791,119.25644841269842,87.89253693400681,121.27681671626983,86.41236107504025,121.14673239087301,100.4196916710554,115.84018477182539,116.5733025060126,89.2155257936508,118.89051128092692,118.71072048611111,86.8250816054063,121.38926091269842,85.09546650026778,121.74051339285714,96.44230397788009,118.77591765873017,111.55249087153551,103.11504836309524,119.79614847406978,119.33141121031746,86.33456201117407,121.5730716765873,84.38666692009618,121.46843998015873,93.96388595406304,120.01050967261905,107.81230208131434,108.90975322420636,117.44378804268489
4,126.57487387719947,98.22649293352909,125.82081333825519,98.72272964355335,113.35640457733481,118.03916569570158,81.3713239817891,115.61810031136116,56.39024240187031,103.57034218474942,124.16694352159469,95.55750473346825,123.57678110003691,95.96257008061849,112.62098560354374,116.10951644628064,81.89851728805218,115.75804378907932,57.377722406792174,104.33614915858736,123.6343669250646,93.25679475300454,123.46628522209917,93.26577210640578,114.46954595791806,112.88785088484659,86.4880337147779,117.2426986464767,56.30607850375292,104.05826911021104,122.5738587424634,90.81548801189511,123.58401008982405,90.46651978049628,116.82745785652763,108.73214538143415,96.00190722283746,119.37447166418679,59.41580534022395,106.3343517263223,120.7634428448382,89.01592358816548,121.84065460809647,88.28918232423165,119.63910422049958,104.37038521199251,107.7588285960379,119.57163211481739,72.08840900701365,113.20208481587397,118.69422911283377,87.63850024759954,121.28866740494648,86.50633705097914,121.48508059554571,100.12584731713785,116.6219084533038,116.49205541547923,89.46277839301095,118.927273754925,118.26415036298758,86.66150471977929,121.40617694106066,85.147831195906,121.89374923095853,96.27399513930948,119.83401008982405,111.39459291887931,103.59308477913129,119.73599236043967,118.9890180878553,86.22585867535471,121.69875107665806,84.24811030367857,121.41005291005291,93.69582943301714,120.2232373569583,107.37440217346801,108.9140826873385,117.14454401811595
5,121.08658008658008,108.72682719190813,120.29033189033188,109.24299856196956,100.68275613275614,119.65007122404435,62.40064935064935,107.33380058049323,47.256926406926404,97.4563794401543,114.98665223665223,108.2622839044582,114.13333333333334,108.73946503184231,97.50699855699855,118.66356771609622,62.141630591630594,107.42058477371833,45.78629148629149,96.55489769071846,112.60887445887445,104.06756279874956,113.16277056277056,104.80733054537228,100.17619047619047,117.88098767050774,69.16024531024532,111.7378616148794,43.49761904761905,95.14614373041998,109.36327561327562,98.79518945475142,110.34357864357864,99.33770359895118,104.33174603174604,116.50878638058924,78.26406926406926,116.00403955824427,42.63318903318903,94.64237582884572,106.67539682539683,94.36378235667446,108.43650793650794,94.60210785955414,109.1038961038961,114.23919123095718,91.33232323232323,119.94406564335969,51.97842712842713,102.18644171723834,105.46363636363637,91.4150788604042,107.26630591630591,91.29380684218961,112.65598845598845,111.04638077611811,104.22900432900433,121.21393176523478,68.898556998557,112.25547077723414,106.58297258297259,90.1466872510165,108.7388888888889,89.7731597128342,115.91724386724387,107.89791019495404,111.00266955266956,119.48424606536443,89.26839826839827,119.45759376012168,107.54747474747475,89.32739842727267,110.66204906204906,89.04010520331883,118.28715728715729,105.5848041814056,114.05873015873016,117.15955813775489,100.15714285714286,120.60039848277144
6,87.17059875649434,103.59734414766625,86.70272265281208,103.90933380822192,72.11949578400477,110.09911950451749,47.428846208443346,97.67145327500299,33.02663032677512,84.64985875203985,85.96377367061295,101.89817079210574,85.462630951367,102.14737217301794,72.10689748175908,108.85905014678528,47.632747068676714,97.77441806021358,34.21746444084831,85.9732961234587,88.00322232632087,100.81483239064525,87.21708116855464,100.89800262034161,75.88271867813644,108.59319408679345,51.96111915509752,100.98754432340283,32.03148510916163,83.73513350304647,87.74829656758368,98.5316603023792,87.63151917780995,98.75968854047865,79.78597791215967,107.79714606432597,58.13309485279505,104.97853355021995,32.49924765068279,84.38099889644937,88.21712375436505,96.838100235723,88.24985804729864,96.87699130337246,82.76752406098288,106.41363989855581,66.35662777162649,108.9828043583327,40.850310876415975,92.80133981336205,87.99142605683787,95.29705400255708,87.821920336144,95.06085311495939,85.36674899923345,105.07725189448239,73.69162195156574,110.81677921426092,52.41453737614627,101.79063305657348,87.24091502711296,94.00339991793177,87.48869346733669,93.91029915692447,87.33350367657496,103.92672404383137,79.40496976407461,110.78429555395523,62.901768730658944,107.36293696320344,86.7309925332879,93.25833638385781,87.06098288050421,93.20430379211565,88.63449308690345,103.19751876936218,82.63251284671948,110.0077750871703,70.34597422138944,109.7123803140018
7,119.2268121948973,103.63517404443571,118.97471677258912,104.14423609347628,104.16909213717724,119.04089305076941,70.68891038039975,112.38274078743582,42.04370452242793,93.52727670101672,117.66147800190353,100.20708217637642,118.25112830431979,100.85156627717406,106.20697860059562,116.96928254579757,73.52238187344571,113.54082540346445,47.09100119738417,97.9200069133236,113.76944214178256,97.07127753725823,114.22085597617513,97.62361984381025,105.52101562739861,113.43256839159449,76.7217616898468,114.71063452257218,45.9659820085352,97.3273022712664,112.20492155598538,94.35524980971438,112.49425869638635,94.69855213842439,106.43994657824445,109.78640582615331,82.39989561266157,116.56357178080819,45.40238248748887,97.0133510977413,110.33916674342207,92.52954262050558,111.43016794080624,92.69064817529515,108.83847594485893,106.62489182973667,92.22672008842221,118.55835206002546,55.332258757790676,104.41901107111089,110.41756470479875,91.31784021627506,111.56825089803813,91.41767367636815,111.67314482208099,103.99939677460894,100.95477572073317,118.18405644516335,71.21913665530687,113.04796906108831,110.96040956679255,90.77538117461502,112.84225231033741,90.63242884634629,114.58874458874459,101.86414326064636,107.09938288661692,115.93582721744512,85.32794510454085,117.33618343865241,111.78387215621258,90.58521795973863,113.82026956495042,90.30990735717266,116.5202173712812,100.48476212534523,110.73341315894507,113.74586728471368,94.59273586933162,118.18859297452028
8,126.76660087858916,103.75373847645142,127.47150951804927,104.19675479821814,113.38298210988731,120.310017047177,75.64222957916853,114.43669451525159,46.11650856306105,96.78748605323601,122.44680715604508,101.51574732058744,123.19730056662634,102.10336958917318,112.91777551410199,118.96792848639964,75.73123448144139,114.45745526800187,47.5643343732094,98.15616580725728,120.85656076908384,99.14188251629359,121.35904373846056,99.52687326608037,113.75803781753358,116.72759284047646,77.65671356719933,115.28473750212116,47.652861781371364,98.62098426563341,119.6578595530655,97.2307140848976,120.85891640669765,97.23024689681858,115.77567326669637,113.87776832461178,85.23362195199593,117.813451850064,48.988699306041894,99.79517652759188,120.17492200929522,95.68305501689808,120.8392118163876,95.24767466033127,118.20643662061501,110.4688005751245,97.09880944801681,119.97628653234283,58.76555039154517,106.55877859034364,120.93690711147896,94.22335443900602,121.35385496912205,93.21982605418712,119.70745527471828,107.23640152126448,107.04103266059718,119.30476940894394,75.41376456357038,114.89399476910894,120.7045266441714,92.95425806452029,120.96867638632457,91.47855385717864,120.52864964665436,104.3991649422928,113.45186859362067,116.63307302267756,89.99022728719679,118.64677078187266,120.54342013115172,92.23232177606938,121.3183930731521,90.62723141139634,121.70341249124594,102.53958480059556,115.1538486025339,113.95233185633823,99.23397211434393,118.93101839497771
9,116.9858621696756,105.63557195951104,116.35505749240104,106.09087920393094,97.29234047616472,118.2503954613448,65.63937174813677,109.77509914816572,41.031412593161484,92.62863991282498,114.90509156597834,101.44881483788686,114.6877345938754,102.09575109718179,99.74442653628566,116.90094913988221,68.65008058671455,111.28068875068138,43.81272512899283,95.21727075504226,112.86709141454023,98.26046750012824,112.81005332785271,98.71475129773128,100.43835927612578,114.292623161111,71.42693651497615,112.55021166070213,41.463681893409195,93.44292673947005,109.09660670438197,95.77086954028748,109.79138317089792,96.06984765567913,101.51708546518546,111.217666462598,77.65995651562517,115.02765000087992,43.085930316830186,95.0399361071477,106.61506592966781,93.4498653989664,107.7085032505111,93.62211860992613,103.57694679113438,108.23159525379116,88.05411749434812,117.70345282767408,52.92806689238158,102.76160724258091,105.30975586011445,91.94290173984733,106.96792756930998,92.18830213104121,106.31888541542722,105.77371897967406,97.23762804634006,117.95704947414167,68.40406935865956,111.75419852013114,104.98508334505176,91.33541421436185,107.7501920019038,91.62602565178882,109.74449143833765,104.11829594749653,102.61365971854144,116.15315210773157,82.07969971983948,116.50781161567645,105.0567352104449,91.27953389209475,108.32817722586996,91.5106271636895,111.93339967765314,103.13726217712389,105.27016560840265,114.37723343557438,90.40178696983136,117.61703966135335
10,121.88054666852135,100.67592516090417,121.36322854360829,101.53610308379463,106.76429266935597,118.518569958234,76.36013353734873,113.97470002457077,48.928223675059115,98.32643579704175,115.43479621644178,98.06388717691559,115.17571984977049,98.98497680193772,104.22694394213381,117.29433911866083,74.13350257337599,113.14290718478166,47.572958686882735,97.59954631113978,111.59069411601057,95.53080953626774,112.24374043677841,96.3794321651329,103.6477256920295,115.48373580226351,75.12539991653915,114.00857451773484,46.54482542773682,97.551896731889,108.01262345249687,93.18022725303925,109.06927249965224,93.9009942307647,104.76683126999583,113.27710653797794,81.63757128947002,116.81847552367016,46.35672555292808,97.77639750152701,107.47235359577132,90.50937310892127,109.29409514536097,91.21514035774176,108.6397969119488,110.74134142589784,93.02006537766032,119.683656703638,55.70708721658089,104.6989297898429,108.51978717485046,88.84774357182177,110.74593128390596,89.20577554934668,112.77142161635832,107.96084109649044,103.768813465016,119.8958346456983,71.1766240089025,113.13357287349852,108.66963416330505,88.15537534294386,112.240367227709,88.7000621294016,114.94620253164557,105.12415173649747,108.15095979969398,117.29400865038735,87.45392265961887,118.17474523478484,108.99005424954792,88.27320401024517,111.68472666573932,88.34441953551392,114.99154958965086,103.17184455317411,110.85881207400195,114.97030871841191,95.74457504520795,118.48547356335125
