CaseID,Feature__00,Feature__01,Feature__02,Feature__03,Feature__04,Feature__05,Feature__06,Feature__07,Feature__08,Feature__09,Feature__10,Feature__11,Feature__12,Feature__13,Feature__14,Feature__15,Feature__16,Feature__17,Feature__18,Feature__19,Feature__20,Feature__21,Feature__22,Feature__23,Feature__24,Feature__25,Feature__26,Feature__27,Feature__28,Feature__29,Feature__30,Feature__31,Feature__32,Feature__33,Feature__34,Feature__35,Feature__36,Feature__37,Feature__38,Feature__39,Feature__40,Feature__41,Feature__42,Feature__43,Feature__44,Feature__45,Feature__46,Feature__47,Feature__48,Feature__49,Feature__50,Feature__51,Feature__52,Feature__53,Feature__54,Feature__55,Feature__56,Feature__57
1,0.012450661713489668,0.037468075226375665,0.0006384954724866496,0.0013060134664499652,0.0013350359879266312,0.033811237520315764,0.0007836080798699791,0.0010157882516833062,0.001073833294636638,0.013553517529602972,0.011986301369863013,0.0010448107731599722,0.002176689110749942,0.01398885535175296,0.013611562572556303,0.002437891804039935,0.0018574413745066172,0.017007197585326213,0.006646157418156489,0.01526584629672626,0.007023450197353146,0.015643139075922918,0.007778035755746459,0.01927095426050615,0.006675179939633155,0.055374970977478524,0.009896679823543069,0.006704202461109822,0.07093104248897145,0.05238565126538194,0.011638031112143022,0.009809612259113072,0.0802472718829812,0.043969120037148826,0.010099837473879731,0.012740886928256328,0.0099547248664964,0.03328883213373578,0.010419085210123056,0.015439981425586256,0.012682841885302994,0.004672625957743209,0.003947062920826561,0.018110053401439518,0.015294868818202925,0.0029312746691432553,0.003163454840956582,0.01567216159739958,0.01802298583700952,0.010419085210123056,0.000551427908056652,0.00925818435105642,0.0212735082423961,0.006559089853726492,0.00017413512885999536,0.0073426979335964706,0.023072904573949386,0.14810192709542605
2,0.013047619047619047,0.04057142857142857,0.0009523809523809524,0.001142857142857143,0.0009523809523809524,0.0339047619047619,0.0004761904761904762,0.001142857142857143,0.0007619047619047619,0.013333333333333334,0.011619047619047619,0.003619047619047619,0.002476190476190476,0.011142857142857144,0.013904761904761904,0.0032380952380952383,0.0019047619047619048,0.01685714285714286,0.005619047619047619,0.019238095238095238,0.005238095238095238,0.021238095238095236,0.004571428571428572,0.015047619047619048,0.006571428571428572,0.07295238095238095,0.008761904761904762,0.011619047619047619,0.06933333333333333,0.06276190476190477,0.013238095238095238,0.004571428571428572,0.05838095238095238,0.04361904761904762,0.010857142857142857,0.017047619047619048,0.013047619047619047,0.024095238095238097,0.015523809523809523,0.011523809523809523,0.007142857142857143,0.0034285714285714284,0.0035238095238095237,0.013904761904761904,0.01685714285714286,0.0021904761904761906,0.0015238095238095239,0.013714285714285714,0.013238095238095238,0.010380952380952381,0.00019047619047619048,0.007904761904761904,0.01742857142857143,0.007142857142857143,0.00028571428571428574,0.006666666666666667,0.020666666666666667,0.16790476190476192
3,0.015531994047619048,0.045200892857142856,0.001457093253968254,0.0008060515873015873,0.000992063492063492,0.040829613095238096,0.0013640873015873015,0.000992063492063492,0.0018291170634920635,0.013547867063492064,0.014632936507936508,0.0014260912698412698,0.0016741071428571428,0.01261780753968254,0.013702876984126984,0.0016431051587301587,0.001705109126984127,0.016307043650793652,0.005239335317460317,0.014756944444444444,0.006448412698412698,0.011966765873015874,0.005673363095238095,0.014911954365079366,0.007936507936507936,0.06631324404761904,0.01097470238095238,0.005301339285714286,0.07260664682539683,0.06457713293650794,0.006944444444444444,0.008525545634920634,0.09071180555555555,0.03506324404761905,0.011656746031746032,0.009424603174603174,0.00833953373015873,0.023716517857142856,0.008060515873015874,0.009548611111111112,0.009951636904761904,0.003131200396825397,0.002914186507936508,0.015656001984126984,0.015190972222222222,0.002387152777777778,0.0022941468253968255,0.01404389880952381,0.01494295634920635,0.006138392857142857,0.00015500992063492063,0.008277529761904762,0.031001984126984128,0.005704365079365079,0.00031001984126984125,0.005921378968253968,0.028335813492063492,0.14868551587301587
4,0.015596160944998154,0.046019441368278576,0.0015996062507690415,0.001199704688076781,0.001045896394733604,0.04008244124523194,0.0014457979574258645,0.0007690414667158853,0.0017226528854435831,0.013442844838193675,0.015165497723637258,0.0010766580534022395,0.001784176202780854,0.012366186784791436,0.014181124646240925,0.0015380829334317705,0.0021225544481358436,0.016334440753045402,0.005291005291005291,0.01442721791559001,0.006459948320413436,0.011720191952750092,0.005660145195028916,0.015103974406299988,0.007936507936507936,0.06567614125753661,0.010858865510028301,0.005475575243017104,0.07465854558877814,0.06576842623354251,0.006613756613756613,0.008551741109880644,0.09016242155777039,0.03439153439153439,0.01159714531807555,0.009259259259259259,0.008367171157868832,0.023563430540174728,0.007628891349821583,0.009290020917927895,0.010028300725975145,0.0029531192321889995,0.002983880890857635,0.015596160944998154,0.01522702104097453,0.0024301710348221977,0.0021225544481358436,0.013596653131536853,0.014765596160944998,0.005998523440383905,0.00018456995201181247,0.00818260120585702,0.03208440999138674,0.005875476805709364,0.0002460932693490833,0.00556786021902301,0.027623969484434602,0.14857881136950904
5,0.00909090909090909,0.030952380952380953,0.00101010101010101,0.0005772005772005772,0.000505050505050505,0.03347763347763348,0.000937950937950938,0.001443001443001443,0.0004329004329004329,0.010317460317460317,0.006854256854256854,0.0021645021645021645,0.0017316017316017316,0.00974025974025974,0.014574314574314575,0.002886002886002886,0.0016594516594516595,0.02085137085137085,0.0017316017316017316,0.008008658008658008,0.005916305916305917,0.014935064935064935,0.0026695526695526698,0.018975468975468975,0.009451659451659452,0.1018037518037518,0.005411255411255411,0.002886002886002886,0.05483405483405483,0.08831168831168831,0.007936507936507936,0.005772005772005772,0.07121212121212121,0.07243867243867244,0.012698412698412698,0.007503607503607504,0.0053391053391053395,0.04624819624819625,0.007936507936507936,0.012049062049062049,0.01038961038961039,0.004401154401154401,0.0025974025974025974,0.01406926406926407,0.009884559884559885,0.002453102453102453,0.0026695526695526698,0.014213564213564213,0.01883116883116883,0.00909090909090909,0.0005772005772005772,0.007070707070707071,0.015512265512265512,0.004545454545454545,7.215007215007215e-05,0.006493506493506494,0.018253968253968255,0.1455988455988456
6,0.006316895210515856,0.02236464809925333,0.00039746756380773925,0.0003264912131277858,0.0004897368196916787,0.021818130199017686,0.0005110297248956647,0.00036907702353575786,0.0005820060755756182,0.006551117167759702,0.005947818186980099,0.0006742753314595577,0.0006884706015955484,0.006323992845583852,0.007232490134287255,0.0008730091133634273,0.00092979019390739,0.011789171847940266,0.0022641455866905147,0.01042642591488516,0.0034778411833177184,0.009986372540669449,0.00237770774777844,0.01373392385657099,0.00443602191749709,0.05610680521250319,0.004109530704369304,0.005642619879056299,0.05956335349061693,0.06453169803821367,0.0047341225903528945,0.004826391846236834,0.0718138716179769,0.049853788717599296,0.0067143627743235955,0.006338188115719842,0.006913096556227465,0.0352184652073929,0.007502200266871079,0.007147318513471311,0.007892570195610822,0.0030803736195099793,0.0031868381455299093,0.00937597592482185,0.007488004996735088,0.0017389205916588592,0.0021718763308065754,0.007935156006018795,0.009688271867813644,0.007871277290406837,0.0001916361468358743,0.006856315475683502,0.012868012378275558,0.004528291173381029,6.387871561195809e-05,0.0049044658319847825,0.014209465406126678,0.3640448002725492
7,0.007859752540603605,0.03131620152896749,0.0006140431672346566,0.00036842590034079397,0.0008903625924902521,0.02916705044364619,0.0004605323754259925,0.00033772374197906115,0.0009671179883945841,0.010346627367903963,0.008642657578827791,0.0009057136716711185,0.001043873384298916,0.009486966933775444,0.010607595713978693,0.0011973841761075805,0.0015811611556292408,0.014460716588376162,0.002410119431396027,0.011144883485309016,0.005019802892143318,0.011405851831383746,0.003576801449141875,0.01900463602591262,0.006094378434803966,0.06590218292345952,0.005296122317398913,0.00368425900340794,0.1177427773172454,0.04860151668662307,0.004052684903748734,0.008473795707838261,0.11286113413772988,0.049952411654539314,0.008427742470295662,0.007291762610911547,0.007199656135826349,0.04018912529550828,0.005296122317398913,0.010684351109883024,0.012096650394522734,0.004359706487366062,0.003914525191120936,0.0122041079487888,0.011636118019096742,0.002394768352215161,0.003223726627981947,0.011697522335820209,0.01502870651806822,0.0102391698136379,0.00024561726689386265,0.010331276288723098,0.018912529550827423,0.005940867642995303,0.00015351079180866414,0.01048478708053176,0.019710785668232478,0.16285959902981179
8,0.012924173935188132,0.03765836888011714,0.0007321576367224804,0.000350162347997708,0.0012096517476284459,0.035398230088495575,0.0005729929330871586,0.0016871458585344115,0.0008276564589036735,0.011682689246832622,0.014993315082447316,0.0013688164512637678,0.001909976443623862,0.01181002100974088,0.010441204558477113,0.0021009740879862483,0.002196472910167441,0.016871458585344112,0.005411599923600942,0.019449926784236328,0.006398421086139938,0.011746355128286751,0.003915451709428917,0.018622270325332653,0.006493919908321131,0.06898198255554848,0.007608072833768384,0.008467562233399121,0.08419812822308524,0.0530655121920163,0.008690392818488572,0.010886865728656013,0.07617622715986502,0.043038135862991024,0.009167886929394537,0.010313872795568854,0.011332526898834915,0.033742917170688225,0.008181065766855542,0.010759533965747756,0.011396192780289043,0.0039791175908830455,0.0032787928948876297,0.01604380212644044,0.016871458585344112,0.002610301139619278,0.003215127013433501,0.013592665690456484,0.01480231743808493,0.007512574011587191,6.366588145412873e-05,0.007735404596676641,0.024957025530018464,0.006748583434137646,0.000350162347997708,0.007321576367224804,0.02209206086458267,0.15604507544406954
9,0.008707691974861272,0.028416281761441693,0.00047594838123465335,0.0002920592339394464,0.0009518967624693067,0.02622042900256363,0.000540850433221197,0.0004543143639058055,0.0009843477884625786,0.009681222754659427,0.00831827966294201,0.000724739580516404,0.0011466029184289378,0.009789392841303667,0.010449230369833527,0.0011141518924356658,0.0015143812130193517,0.01474358280960983,0.0029854943913810075,0.0117472714095644,0.005430138349540818,0.0107088385777797,0.00422945038778976,0.02402457624368557,0.006273865025365886,0.05261393014375804,0.005127262106936948,0.004586411673715751,0.1113286531742512,0.036853548519692365,0.005246249202245611,0.0109792637943903,0.1088515581900981,0.050093567124947266,0.00801540342033814,0.009421614546713251,0.006187328956050494,0.04068276958689844,0.004997458002963861,0.014116196307073243,0.014667863748958863,0.005603210488171601,0.004575594665051327,0.01163910132292016,0.010914361742403756,0.0026609841314482892,0.0027475202007636807,0.011249689011000898,0.016755546421192685,0.01419191536772421,0.00022715718195290274,0.011617467305591312,0.01644185316992439,0.0076908931604054214,0.0002704252166105985,0.009107921295444958,0.018053587460923556,0.18255865522948284
10,0.009667547642231187,0.027159549311448046,0.0005911809709278063,0.0004868549172346641,0.0008693837807761858,0.027437752121296424,0.0008346084295451384,0.0008693837807761858,0.0004868549172346641,0.011093337042704132,0.009528446237306996,0.00135623869801085,0.00135623869801085,0.013458060926415357,0.012658227848101266,0.0011128112393935178,0.00257337599109751,0.020726109333704272,0.006085686465433301,0.01697037140075115,0.004729447767422451,0.021491167060787315,0.0081374321880651,0.022395326192794548,0.004868549172346641,0.0752190847127556,0.014153567951036306,0.009424120183613854,0.07292391153150647,0.058735568229239116,0.014953401029350397,0.013771039087494785,0.07671442481569064,0.04527750730282376,0.014709973570733064,0.016413965781054387,0.010745583530393657,0.03588816247044095,0.01286687995548755,0.019195993879538183,0.013562386980108499,0.004033940742801502,0.0046251217137293086,0.01815273334260676,0.01544025594658506,0.002329948532480178,0.003373209069411601,0.017526777020447908,0.01613576297120601,0.008519961051606621,0.0004868549172346641,0.010884684935317846,0.01624008902489915,0.005181527333426068,0.0001043260536931423,0.007511475865906245,0.019578522743079706,0.11837529559048546
