CaseID,Feature__0,Feature__1,Feature__2,Feature__3,Feature__4,Feature__5,Feature__6,Feature__7,Feature__8
1,25312,31464,26279,239.22780730965198,136.66869016866542,0.8207475909870273,233.72847494475295,654.9015869776647,0.9632025571749305
2,7056,8844,7191,132.90912924439027,68.13141699712794,0.8586176625279743,132.13629327327143,339.1787155501902,0.981226533166458
3,22643,29280,23799,249.65379015058332,118.30974822613813,0.8805812176662993,244.6630335788388,644.0731598529185,0.9514265305264927
4,22633,29524,23811,249.66893727150975,118.26158664692133,0.8807004665917202,244.59149617270018,643.7300141024109,0.950527067321826
5,8658,11972,8857,147.18517973734689,75.94095932812365,0.8566155661846011,149.25481566770299,384.63455967290594,0.9775318956757367
6,105933,134292,107012,585.6211676567648,232.23287050849717,0.918009586890661,589.66515922174,1422.9158723275375,0.9899170186521138
7,34168,60590,36249,413.18447073187144,113.71526116527964,0.9613822211704435,420.05951959216446,968.7665940288703,0.9425915197660625
8,22206,28558,22511,222.90077553274637,128.40005450292617,0.8174205835357725,223.6515146382872,595.0020920410531,0.9864510683665764
9,46010,87135,48872,477.4939383153389,134.53786835682985,0.9594854217233001,479.9051989716302,1117.8620484583753,0.9414388606973318
10,17400,26100,18260,197.63694716736032,114.15000819821395,0.8163381684235055,196.468827043885,540.3158005400378,0.9529025191675794
11,10778,16562,11723,173.64778862028038,85.4864523440026,0.8704267442899521,182.13456563760764,499.6467529817257,0.9193892348374989
12,44753,55640,46112,272.20098048649663,216.612729793538,0.6055827666574798,295.0830391601659,869.8721497261419,0.9705282789729355
13,42541,53768,44646,296.765253286109,190.24488436897758,0.7674892152213569,303.7268509697488,923.263022691402,0.9528513192671236
14,43612,57084,44535,310.5944492149657,183.33269503433343,0.8072103274167575,317.09462310168556,859.6711395993652,0.9792747277422252
15,29279,39976,31732,257.5462919697193,152.805369954747,0.8049724057752964,268.28715958837836,804.955410846827,0.9226963317786462
16,23928,32875,24737,261.0421587856648,120.21566711339725,0.8876482704331385,263.4274093559742,666.4406922210657,0.9672959534300845
17,47711,65175,48312,388.23917033549236,157.83483868538468,0.9136328844247353,398.81073205218536,951.9797974644666,0.9875600264944527
18,41444,62282,43031,432.61843095207837,125.52806842926017,0.9569784945667292,425.39981194166035,995.9970414071697,0.9631196114429132
19,67950,89562,72677,684.5663345396355,130.73374654339653,0.9815952729254684,649.8384414606448,1448.5239533417507,0.9349587902637698
20,20755,25725,21154,254.934024076321,105.08409530660802,0.9110928714022182,249.28096598015662,617.6467529817257,0.9811383189940437
21,15645,22321,16213,222.69961996886275,90.28733825483938,0.9141296159987933,225.33752461585266,549.7888886054566,0.9649663849996916
22,7793,10126,7889,121.87318996472159,81.80091927835663,0.7412790226792947,123.96773773849388,340.3919189857867,0.9878311573076436
23,138906,172056,139626,548.2992882889585,323.8909241626642,0.806877197091033,536.4513025429242,1469.241774135342,0.9948433672811654
24,137781,171304,138512,548.2102553491908,320.8194400789781,0.8108800435882719,536.6563145999495,1457.9696961967,0.9947224789187941
25,123226,148404,124376,464.5889860344902,339.24281611756646,0.6832336008078156,451.30588296630924,1342.9158723275377,0.9907538431851804
26,120125,145188,121340,454.57653228024947,337.7825694394011,0.6692127572528781,452.74717006293923,1333.0163773909258,0.9899868139113236
27,175810,216021,176646,584.2624787169384,385.1250987946718,0.7519987566670056,576.6749517709261,1623.6093065034893,0.9952673708999921
28,197104,239292,198680,634.5765563277275,397.55940746115004,0.7794249731267828,618.9547640983144,1736.195092941116,0.9920676464666801
29,17490,22686,17818,198.93582059639638,112.37633844723422,0.825167998297306,200.0024999843752,531.2447327281723,0.9815916488943764
30,11544,16200,11873,156.07343969706537,95.11062191559701,0.7928655600380506,155.08062419270823,423.5462479183374,0.9722900699065106
31,13726,18126,14074,173.4699367512047,101.86485520677068,0.8094280461956281,171.23667831396403,469.1614716074871,0.9752735540713372
32,19599,26855,19859,202.2881432650259,124.45183639539883,0.7883549910456327,205.70367036103173,553.1858582251266,0.9869076992799235
33,9379,12298,9550,141.5192571666295,84.85951861157493,0.8002756380211279,143.50261321662404,384.8772003600252,0.9820942408376964
34,5181,6586,5249,89.68143130247957,74.36992574909154,0.558851384024891,91.21951545584969,271.62236636408613,0.9870451514574204
35,4015,5120,4090,80.23297882865103,64.01670304337917,0.602809483644607,82.46211251235322,240.06601717798213,0.9816625916870416
36,4623,5632,4708,90.73931486672026,65.41136372935141,0.6930689970066695,89.62700485902673,260.16652224137044,0.9819456244689889
37,4035,5200,4128,84.33436731102651,61.17105072761926,0.6883912838591599,86.6083136886985,244.4091629284897,0.9774709302325582
38,3729,4758,3808,77.91877745847694,61.220394451356505,0.6186140597764193,78.40918313565064,234.75230867899734,0.9792542016806722
39,5059,6464,5154,102.77431210774368,62.782321943322025,0.7917265772675286,105.08092119885512,277.3797256769669,0.9815677143965852
40,3913,4851,3971,78.61388435760752,63.73215880585868,0.5854638572232147,80.00624975587844,232.65180361560903,0.9853941072777638
41,21382,30420,21669,225.7241903032273,121.55548459506923,0.8426169931623002,234.3608329051593,601.5706345359769,0.9867552725091144
42,12405,16212,12819,199.96819369441516,80.35138130804047,0.9157183178694872,193.83756085960223,487.56349186104046,0.9677041890943131
43,12135,14256,12279,151.90186901622567,102.36323692304893,0.738843181223041,149.3251485852266,422.8355697996826,0.9882726606401173
44,14640,20976,15595,232.84382883591388,83.69338840572343,0.9331681940940064,229.83689869122406,559.58787847868,0.9387624238537993
45,69156,82626,71412,307.608962372582,291.87528721555464,0.31572210779763765,333.01651610693426,1039.3940110268397,0.9684086708116283
