CaseID,Feature__00,Feature__01,Feature__02,Feature__03,Feature__04,Feature__05,Feature__06,Feature__07,Feature__08,Feature__09,Feature__10,Feature__11,Feature__12,Feature__13,Feature__14,Feature__15,Feature__16,Feature__17,Feature__18,Feature__19,Feature__20,Feature__21,Feature__22,Feature__23,Feature__24,Feature__25,Feature__26,Feature__27,Feature__28,Feature__29,Feature__30,Feature__31,Feature__32,Feature__33,Feature__34,Feature__35,Feature__36,Feature__37,Feature__38,Feature__39,Feature__40,Feature__41,Feature__42,Feature__43,Feature__44,Feature__45,Feature__46,Feature__47,Feature__48,Feature__49
1,127.53076387276526,74.37667324227455,126.3207569073601,75.2999768657437,116.60123055491061,91.55289085234766,120.46781402368238,105.32262428600768,107.51837125609472,113.93952525757516,128.2379556535872,75.12418246378454,125.81091827257953,85.36781090926506,123.33965056884142,100.57726464800936,115.88399698165777,114.70520955029968,109.1483921523102,118.19793462330136,124.97208033433945,77.697509869082,126.168533782215,89.52714285750808,123.26236359414906,102.39441608369849,115.20568260970514,116.50513492094781,108.29878685860227,119.02109713585504,128.57194683074064,81.55321592091495,125.44044578592988,93.11716373281988,122.79321453447875,105.82914713470291,113.08190155560715,118.1642202060316,105.36910842814024,119.7479469787958,123.29501393081031,86.67604161821369,124.12021128395635,99.72543280494071,119.89441606686789,111.53252701449792,108.25899698165777,119.86262751587644,100.4146737868586,120.30862467529069
2,127.53257142857143,73.97950801248078,123.60609523809524,77.18475966635404,114.96380952380953,89.97287858419126,113.20495238095238,101.97075628521486,103.21,112.63953799198407,129.18390476190476,75.76067071150834,124.75428571428571,83.23943894524018,122.62685714285715,99.77136149182274,119.08380952380952,115.33939741047435,106.89495238095238,118.19662437065105,123.8764761904762,77.80070558476658,125.41314285714286,90.03011865681698,124.05133333333333,104.50549738619738,112.51561904761905,117.67264942505552,107.80609523809524,119.89324108591848,126.01590476190476,81.65134609096852,123.99838095238096,94.30917895663137,120.70314285714285,107.9274252168186,110.61771428571429,119.4287448469919,102.91228571428572,120.30872517744974,120.20504761904762,85.69413578451488,124.88295238095237,99.63090988552088,119.39285714285714,112.73258136563956,108.76533333333333,121.13375125645337,99.56895238095238,121.01548939759981
3,127.58655753968254,74.09200787070199,126.76453993055556,74.22574365143988,122.15609499007937,85.15563429253984,124.35739087301587,104.0503707952879,114.32952008928571,113.87558294892362,126.81383308531746,74.44272399048765,126.07189360119048,78.08231180539921,125.12896825396825,94.56051117898808,121.37868923611111,112.92566589498398,116.31891741071429,118.363584472737,127.3145771329365,74.43398000424986,127.02201140873017,80.03376185912595,125.58919270833333,96.83874567909511,119.61830357142857,115.28095271048213,114.7655009920635,119.2355471624963,127.77709573412699,75.09373840287357,126.52749875992063,83.75234420000896,125.14192708333333,100.47376091545826,118.60317460317461,117.58727400858947,112.38662574404762,120.02975916937535,126.50204613095238,77.89571749045663,125.49057539682539,90.67520420000481,123.50300719246032,107.77038683311467,114.78512524801587,119.4382750247781,108.22042410714286,121.13478596608941
4,127.88667404946474,74.10454665518034,126.68875353759074,74.02899940434379,122.24664697920512,84.986410291935,124.53073089700996,104.18420513849219,114.17454165128584,113.84177900732902,126.83111849390919,74.35032689838691,126.18081702965424,77.93967142672552,125.19407530454042,94.35107069346022,121.09794512120094,112.86308404254413,116.06318444690538,118.35650060198091,127.30266395964071,74.48361360723437,126.87230835486649,80.04031702032157,126.16066814322629,96.67725146512869,119.42195767195767,115.17560500873982,114.50464501045896,119.13780176070662,127.79685000615233,75.23984339843099,127.22766703580658,83.81627062505338,125.22049956933678,100.31522015234444,118.66845084286945,117.48480741367241,112.76818014027316,120.01949451562209,126.86932447397564,77.75022732740841,125.2640273163529,90.44423825194598,123.67866371354744,107.68698648964441,114.86846314753292,119.4158946128812,108.77085640457733,121.2246241593028
5,127.38383838383838,73.89441200474194,125.36515151515151,77.0668901231902,121.45714285714286,99.61019029349936,132.19588744588745,111.57899354837683,111.23383838383839,118.1904976396523,125.71046176046175,74.68283253176163,129.1929292929293,86.06251633366217,123.88318903318903,108.63902255174656,118.59170274170275,119.62640933315427,106.51320346320347,121.21261970734693,125.71349206349207,75.83933674775514,126.37157287157287,92.93552374012184,123.21291486291486,110.52961402426075,112.59516594516595,120.71880599530489,103.95526695526695,121.70180488425808,129.36681096681096,80.64061649292003,126.84271284271284,99.23400897053101,121.51471861471862,113.55678506437224,110.36378066378066,121.77730005781785,99.7037518037518,121.63511587734604,120.06709956709956,84.85185783228542,124.80894660894661,107.16190771637437,119.31767676767677,117.6298362423436,105.6894660894661,122.19062398701232,96.00714285714285,121.4668608696542
6,94.70621468926554,83.47655932590857,98.92384947335547,89.07416498366311,87.65943417653239,100.26958713025225,95.41966896630043,109.37668388273464,79.39058285779178,111.83532782161888,100.58997671975698,85.72376306961748,97.18780342389915,95.69502231618377,91.41355790250688,106.40942095641684,83.77880930074099,112.62955773568665,77.39934843710076,113.01470979134031,90.2309712403827,87.52343474263236,95.43066320302076,98.28632118233087,90.88873037503903,107.86392446223745,82.37896402918548,113.72808716929077,76.50398887090822,113.33105966950197,98.30800897141073,93.2162202472962,93.63238508928825,101.04600179684542,90.12606109644267,109.98431117289736,80.31372256764047,114.16471915687183,73.9488828322403,112.919700792215,89.12137665729779,93.79694504858372,92.57646282258752,105.51196883562345,87.3012733157312,112.31756474135156,77.39667262868012,113.98316157095819,70.78482099764358,112.05115477034957
7,127.63544257161278,73.80371807190443,128.54499401307913,78.6889029077798,115.0217524791993,96.21774814359084,122.34774799668416,108.20100032565333,107.236038193485,117.28675659072468,128.69368456602498,76.52767472389647,122.73849436615394,86.32626451668291,122.35827883700225,103.16886839193265,109.40735623714347,115.31220310368613,107.87868042123361,120.05154937847507,122.66694298609193,81.96776594530213,123.66163151269534,90.2057969736311,119.32974118080502,106.21887904205624,110.65174541770287,118.58767003346725,103.67741242209327,120.47873793972433,127.89699425869638,84.71220513626946,121.49304596113107,95.24090866306744,118.2288078351908,110.69207810478886,106.90087808172915,120.46136650862695,100.0746215958982,121.06015888174069,121.78051026987197,87.90369234737437,120.86807282551963,103.38747613831578,115.12822756439778,115.86609822279186,103.60532375425993,121.39952394830055,94.64316416444076,120.82067945488363
8,127.48226905201503,73.6940923045326,129.26857452091423,74.92279488753536,117.86671547717579,92.47539785564577,116.94878079837015,107.71333834789225,109.16460813649965,115.9295663213959,127.97978608263831,73.77393422639818,124.25087540586999,84.32158114027662,125.0666900108232,102.44472121196118,113.20856942764372,116.71827932243957,111.17294836697015,120.22919414849945,124.0601005920927,76.06667051235037,127.29894314636786,89.24327813671181,124.1655949576622,105.05670410339604,115.6885465079264,118.92545128615664,109.00318329407271,120.98839011181956,129.1086776596422,80.06486176828666,123.8647418348507,94.95351727416067,121.94811230661489,108.90541358216196,111.7475966129751,120.1241968995621,104.41761634939836,121.29075558102495,122.07531673776023,85.26620197343686,125.09393900808557,101.55901715407492,120.18580887502388,114.13392299833623,107.84853886802063,121.38139543374687,99.68946966320749,121.45271144976623
9,127.52521985570111,74.1262394375523,129.13063701364024,80.98201441225545,114.80623492379418,99.26701337755766,121.90021309507068,110.34333671304215,105.64436920613973,117.76316716850714,131.89985613378477,77.9602002332353,119.92692028946315,90.1795316090346,120.18211515787424,106.49802834878071,105.17969214793341,116.67464202482253,103.18109835905979,120.0879844845393,121.55598342834273,84.24128560274924,121.29904702153667,94.39154233751516,117.78663450409424,108.04607255098915,107.23847177301589,119.16268512457746,100.70795158306922,120.46659353432308,128.01309939749262,87.50957860980664,119.41262561251311,98.33277987280786,116.47867426741809,111.357558731702,104.83915108116001,120.44863350451325,97.411533094638,120.64645724836001,119.9736064988588,91.08895652610833,119.30415264962627,105.25025782980704,113.02232630588337,116.1022362877891,100.15440198167599,121.00201494458153,92.95521758412929,120.42862281754468
10,127.04534705800529,73.69297552261666,126.82149812213103,75.45843218503674,116.27416886910558,93.75086264779281,120.88113784949228,104.31893822544727,108.0069550702462,115.7971444773663,129.4989915148143,74.31208813881527,124.90061204618166,85.83926894390085,122.10397830018083,104.28064614898211,116.644039504799,117.8051656128956,109.18510919460286,120.20176470936677,125.75625956322159,78.84580982562078,126.44498539435249,90.57876032750802,121.17888440673251,108.41006520978038,112.15029906802059,119.95407563634073,104.95611350674642,121.15278813950471,129.5501808318264,82.41090920636604,123.43782167199889,97.93806039810411,119.32727083043538,112.96670847656968,109.42203366253999,121.26581479112227,99.87446098205592,121.32228588018924,119.038079009598,88.2776413962934,122.58589511754069,105.72432718100038,117.28317568507443,117.01559037117671,103.83492140770622,121.68260086975327,95.64793434413687,121.13372293379769
