CaseID,Feature__00,Feature__01,Feature__02,Feature__03,Feature__04,Feature__05,Feature__06,Feature__07,Feature__08,Feature__09,Feature__10,Feature__11,Feature__12,Feature__13,Feature__14,Feature__15,Feature__16,Feature__17,Feature__18,Feature__19,Feature__20,Feature__21,Feature__22,Feature__23,Feature__24,Feature__25,Feature__26,Feature__27,Feature__28,Feature__29,Feature__30,Feature__31,Feature__32,Feature__33,Feature__34,Feature__35,Feature__36,Feature__37,Feature__38,Feature__39,Feature__40,Feature__41,Feature__42,Feature__43,Feature__44,Feature__45,Feature__46,Feature__47,Feature__48,Feature__49,Feature__50,Feature__51,Feature__52,Feature__53,Feature__54,Feature__55,Feature__56,Feature__57,Feature__58,Feature__59,Feature__60,Feature__61,Feature__62,Feature__63,Feature__64,Feature__65,Feature__66,Feature__67,Feature__68,Feature__69,Feature__70,Feature__71,Feature__72,Feature__73,Feature__74,Feature__75,Feature__76,Feature__77,Feature__78,Feature__79,Feature__80
1,0.027318596059736765,0.024650760032068002,0.07843820979622977,0.5085447327960095,0.29154261305382534,0.039372493247576926,0.01361672140384898,0.00955130114342868,0.006964007387574011,0.03246334504403681,0.016427270471428602,0.040046478328099225,0.15550856425260504,0.5663496271049104,0.1336043934961683,0.03448510860184178,0.011777126426200305,0.00933707835375423,0.047005156493318864,0.02379951019689986,0.04405109061518833,0.13531851198320494,0.43442470189070076,0.21942914923251242,0.05410728974056811,0.028639847374177786,0.013223828007289145,0.20256778875852177,0.049927903695609274,0.11977218319828542,0.07042812854998702,0.2732181412741795,0.08845841345359272,0.10704615412655241,0.04308605975019897,0.045493841259660675,0.07412594833944401,0.030769734883730804,0.10688082046722469,0.21887611531432113,0.3573984464520631,0.10991708994793735,0.05985540359006514,0.029957309991923524,0.012216724020609034,0.18138002280847446,0.02495609028696215,0.08901715645433202,0.10167841104925143,0.351659657524128,0.06792686493029391,0.09918036012714689,0.029221017397175076,0.0549792283138436,0.05465337819278221,0.03508357190527522,0.061347710282054047,0.15197939262613325,0.30417836010171195,0.16982211989570467,0.1032634850562063,0.07588987783422711,0.043781382573729336,0.03246342427110353,0.014217338739181525,0.040739705013503935,0.17676037428867694,0.5155874832427086,0.13598777972788392,0.04328651040066327,0.025255908543746576,0.015700825837267784,0.04770532165031536,0.05538386014805119,0.10191240459958704,0.27089571898459364,0.2943583590222866,0.12442015415586842,0.05010305729435618,0.03630490893831569,0.018915503093728043
2,0.06045423841860786,0.047398471441932384,0.07346396886878509,0.17356882012691022,0.5052560826133228,0.0902068977947669,0.01947330030939951,0.015696308167325125,0.014481111216895645,0.03884584965086196,0.01035274737443918,0.019329849581141187,0.06868561777669505,0.6812708626379578,0.09989747591448846,0.04728872588898695,0.01786986697013037,0.016458319017287816,0.03987807830926057,0.019374170507608736,0.04343075290231482,0.08054243926557263,0.46485725160668806,0.23645041517089294,0.08397298609068936,0.02055235498430254,0.010940886777475057,0.09803086017339807,0.015570849709835636,0.04411283218956543,0.08435377728333454,0.16240448814963787,0.18177801890481066,0.24938028777127794,0.10899380483477376,0.055373397855300405,0.1097717587875933,0.027342937201113075,0.09522614218615863,0.16855247527955305,0.3465760887426196,0.14444966496669476,0.07542866681351845,0.02071199021473405,0.011935411756200892,0.13712445319923952,0.08331351962059128,0.1026727916322069,0.12514464897662203,0.2804499914298182,0.09506791029475316,0.0712195648653912,0.05139083486833398,0.05361463171742815,0.04552456082888031,0.013120006475765908,0.056283968337477994,0.08012706927293196,0.20792561103454793,0.38635363139355683,0.13416903136350009,0.050775048693367186,0.02571988738161639,0.036351456051878506,0.013725541095354394,0.13996049391594376,0.3498394024112166,0.3655725431812014,0.05441144462289132,0.020489577650936137,0.012570867193422323,0.007077722941989891,0.050024354603400045,0.049219781482284695,0.09244821993275093,0.42929122615935933,0.18548361676748334,0.09900920336583842,0.050368032424230456,0.0309720813350201,0.013182899940628491
3,0.03527548746872147,0.01985624420843626,0.05477937237445867,0.4643642146346685,0.30828135331949713,0.06781842573644846,0.030533282777844416,0.0127792383969792,0.006311650542279018,0.02468798076573172,0.010859713916317553,0.027057308795975572,0.17805669087594428,0.49605523778417326,0.19188491601617882,0.048658197326706294,0.013969417060275591,0.008769928968335578,0.04390124394402434,0.01787434889717469,0.033852383657329156,0.13688972594792842,0.5095190537915233,0.12713578402374753,0.07509459778861476,0.038827488447764145,0.016904817619513023,0.14786469328865076,0.053481156289473815,0.07391570684787586,0.09023293338883204,0.29052086012954975,0.15653850987794166,0.07632572571307795,0.04488661137027991,0.06623296373935969,0.040481622081584935,0.029206472919359308,0.06855451574043993,0.17023654515675593,0.34561785807624545,0.192568650665296,0.0710506479908303,0.0575014791411724,0.024781128385247302,0.11403292206493534,0.03867378668028274,0.0953987248975173,0.13766562893026582,0.35113877331042753,0.12277070214089697,0.07054899542923845,0.025742294335028698,0.04402716527512839,0.0348008553830217,0.03048049979639565,0.058430267856254894,0.14964804151406133,0.40968184590253015,0.20391520684089967,0.06679911616196943,0.027759907203744077,0.01848354923197784,0.02733012741734641,0.015192088869696153,0.03346957686607513,0.13185641420074823,0.5580017425425899,0.16344731647693536,0.03763159832195513,0.021391745602096727,0.0116788495509016,0.026734752435487404,0.022217940448341668,0.07505875756731158,0.3390247617187295,0.43898362588014284,0.0592269117926353,0.01719107859904172,0.013842481252506844,0.007718941452926443
4,0.02907801687472739,0.017682027243611315,0.049481712700714726,0.4441704264023471,0.36097813039791693,0.05788650999460868,0.024855893810509705,0.010975882757704792,0.004890739692567124,0.02407495943628454,0.009511805823011752,0.029275439972445524,0.17054361566119144,0.5376589716661193,0.16869087434588567,0.040696201250963494,0.012468652913706734,0.007078940644774514,0.03229313431699619,0.014754906547443401,0.02867106263222814,0.13444997364582448,0.5412707450238425,0.12712955877718327,0.0708401727988157,0.036884520582052584,0.013705397691039097,0.13532095195264646,0.05067489291247167,0.07957730139567176,0.08762771316372775,0.3091492354305966,0.16729569944200112,0.07700828697597936,0.041580887158280844,0.05176414603235571,0.03885467959685871,0.0283709122756928,0.0679732942806573,0.172847155247541,0.34980836993962955,0.1893377503726039,0.07079126291524905,0.056755698141190206,0.025259792101380116,0.1353677207448578,0.031491793542536485,0.09593977617197418,0.1279589651814287,0.3630483130252565,0.10410706641753602,0.0668031055344934,0.02530651975776419,0.049975853911244664,0.034974471908391876,0.030010626653984667,0.058158281938516326,0.14937646391385057,0.40677916889499144,0.20601863489334407,0.06555265545784708,0.030134714381182103,0.018994272531710005,0.025756994334874488,0.0146481445039776,0.038382809160677614,0.136382104605932,0.5523011460697466,0.1625079757004469,0.03580961397713143,0.022541214562742076,0.011669454893966983,0.02879317002998648,0.024979626407464123,0.0760316961102165,0.330201948904097,0.4379512181965258,0.06132491527467376,0.01756139688698914,0.014703625389524242,0.008451627696578215
5,0.05266414552067867,0.028865599001637654,0.06934287171511962,0.17596440204918262,0.43907460251222796,0.14947319577434423,0.04285905031884348,0.027946426046893097,0.013808362539067559,0.04462855945048762,0.0173646427167563,0.07940739353721143,0.16499088997354489,0.475206775141884,0.13971985179185725,0.05440630983536674,0.01988284637176436,0.004391507798555797,0.056649148228132086,0.024444709047709845,0.056469797079610855,0.14686677895775738,0.38173114149389925,0.18721095860069037,0.10729693579792206,0.02806644887125753,0.011262618751146843,0.06619833046437411,0.022447977622166496,0.07378408730051653,0.14360622832575567,0.4067934971625007,0.1908889917355236,0.05347826830123593,0.02763490257456041,0.015165824606972562,0.07361145780295494,0.047459760198564085,0.07480978236551176,0.11946036238504885,0.3529620121208253,0.19720030259825863,0.08079112163823977,0.04063171914463648,0.01307068094770094,0.04965942063054204,0.010480804703000834,0.04358061488274616,0.12824650426000017,0.33903103474856927,0.2860657424967955,0.09881789090457543,0.037972673374624656,0.006142319271879669,0.029822099966936244,0.011712687824737455,0.01808436705630481,0.048931621300275806,0.38509566901985004,0.4057706816725662,0.06664978063452982,0.02725116274073801,0.006680890489439381,0.025814845583251225,0.004755232311226725,0.013245601328987396,0.06221249698229685,0.46942623697666,0.3523412484477222,0.0556807821880315,0.01199478641093264,0.004527526436044016,0.031959544653619186,0.015949376266386376,0.05220001273589492,0.23614084220153264,0.5720597383375498,0.0596780362181637,0.018324019727228427,0.006675597868153277,0.007011573449341265
6,0.022726765895806172,0.018541853552628135,0.05880978218813488,0.3889051381407991,0.38447989347829975,0.0846804779934481,0.0246813759367552,0.011142150093214695,0.0060316283353666865,0.023846131719697575,0.010370677656843606,0.031498170844962876,0.12496576298383491,0.6239577627393317,0.13719713728914232,0.0328561496083191,0.010336271766499178,0.004970571333818207,0.04519651537691959,0.019387665424312406,0.03504008436034119,0.0831905510096007,0.4137573414932626,0.28319947727021666,0.07536385257917728,0.0285407537133919,0.016322666802334875,0.13790766356307863,0.018327618250829274,0.07685779466210454,0.08139157279586268,0.2965412785494426,0.1616497495935718,0.14292794252163962,0.036092273609372234,0.048301274151571705,0.1025056220063929,0.0055565950680448095,0.1338791683765459,0.10874730016099378,0.47525336288617215,0.05784697826112995,0.1133362458686741,0.0027782975340224047,0.0,0.06700027086309175,0.05052354798946042,0.20026639186786616,0.2987870244607738,0.2173708278735913,0.07958440725820733,0.0454017886289866,0.019835020007813772,0.02122919300627349,0.018446982292020887,0.010241688517299532,0.02066647083965099,0.10955896037546595,0.47680610709886984,0.2551832046615533,0.07810049587124225,0.022060439471224453,0.008934816103542324,0.009190334237214546,0.003655901207180494,0.01391410984589987,0.12705922276862797,0.6888984033308586,0.13605723946305653,0.01691003729410315,0.003138753028355663,0.0011742725067690318,0.025545620785102877,0.02472115460172655,0.0900438327945489,0.4810337895036411,0.26957703342989564,0.06150016555638832,0.02491669871281249,0.014059943515088878,0.008600985644118566
7,0.050435600767725935,0.043497672474025764,0.09627119976096135,0.19754363443878234,0.3452827806022311,0.16083422779831097,0.05434158697075956,0.026492964631932917,0.02529933469356008,0.032427530128225586,0.02008796090068943,0.054175458301638606,0.3269912385081283,0.33126988184786743,0.15889982133994143,0.04776500533953752,0.0191989462868283,0.0091830375671022,0.02826588239160053,0.0183707961167757,0.03187827427487438,0.09612993370117738,0.31504999254769167,0.39165281205640884,0.07796062222592225,0.02930869679946356,0.011382023076981669,0.04890980237348312,0.039414187667596856,0.12064535099283018,0.32193912740890696,0.2764618369245351,0.10420575995186947,0.049983357194758306,0.023948992368556198,0.014490221444122606,0.0879074275985749,0.010251548712677545,0.09008403060425749,0.3894914828212463,0.3026817577295599,0.04229527181896372,0.06571775744446103,0.007726218705328999,0.0038399933693486436,0.0179321802085042,0.01017956859364359,0.039326014361060646,0.20073565697804605,0.5851496538609581,0.10218507156529182,0.027710470382860935,0.010992583878527645,0.005788240210638658,0.029805650937195057,0.014228937354141071,0.04228255693418577,0.31538328488776524,0.5071695894090091,0.04894149175743188,0.028738154895107854,0.008890389832296503,0.004558857102789195,0.0115723317240944,0.005297350006065575,0.03352244583489494,0.7237596888559231,0.21085966052940672,0.009217603861385223,0.0038512249019291406,0.001391996700094655,0.0005271874713925913,0.013005596916668237,0.008035900020631169,0.02531430880169615,0.2523399487422718,0.579773344232492,0.0938227343986016,0.017329030130617734,0.006942986584298629,0.0034355999125443505
8,0.026589649595481626,0.017790519804735182,0.10733886466903485,0.5629457605077504,0.21783436472283849,0.03670386008689374,0.015517819284774357,0.009162153273068423,0.0061161279426544994,0.024281379845184366,0.012191131719187431,0.02838095908701308,0.134947685058859,0.6050417838246918,0.14136449563463357,0.03621689661141691,0.009518564371562803,0.008056220311401248,0.03639390808313311,0.018427057625413894,0.054528272688396856,0.17435251220998071,0.46167414995561934,0.17434070539272437,0.0483904819834349,0.022331449145473553,0.009560636181585497,0.09072878130022577,0.09268206295785655,0.12653931074765593,0.1412430559364405,0.26859066176496155,0.15752354518944137,0.05542768447711425,0.04183900784157582,0.025423644967452513,0.06478878821207538,0.03362423234936853,0.0842490918332144,0.17336728106876437,0.3255428010628574,0.19926711611701822,0.07615939346085336,0.03019448627491457,0.012804196422205536,0.07332274154062211,0.0444822462922667,0.08477916917890237,0.19751230345154613,0.2738016043945364,0.16759006551961775,0.09213490496924472,0.0353783840724622,0.030996697947648966,0.04179505804412012,0.027445454694218472,0.041166932393831374,0.09610550543281919,0.31013093544220854,0.3159302676749747,0.09680991712023365,0.05184259571060086,0.018772343375731297,0.020119498207746726,0.015621547242458072,0.041593523456603616,0.19509378046728315,0.4653344842623648,0.1945254910803961,0.039971426088217986,0.019121592843374863,0.008617978293224436,0.05176994800910154,0.05213888485338638,0.1595407895797691,0.32443019312317994,0.26274078780273347,0.08264035149833338,0.031753481086232736,0.019463894767584134,0.015520700317073359
9,0.04131043673308666,0.04200415308255294,0.10454300572188915,0.2735852929085058,0.32470206905911825,0.11636034342747568,0.05270219807180722,0.02727873722223245,0.01751293958953721,0.03471267029855939,0.029436460999095755,0.09003270011313866,0.3122179994955795,0.36225053130423096,0.10655996083514573,0.034734007755165976,0.016729411131393094,0.013325250657761701,0.035873210907849826,0.02294266155670826,0.04046912142026874,0.08471179427978999,0.319193353340508,0.2874114774053345,0.14486434556649558,0.045190909176918634,0.019342031914641032,0.05075903759625072,0.04949789121030246,0.11572191558032265,0.2549776990771606,0.36245764576493394,0.08040118656259423,0.04550504122369353,0.02591426770872027,0.014764086151089154,0.1373387037976442,0.00919547530997471,0.15441316795070065,0.16136521565882012,0.3610284499328468,0.05658753676770935,0.10408220833950359,0.014085769914829805,0.0018938049852928603,0.029390326658135874,0.013401926884463736,0.04364070581889561,0.3514815678555586,0.41748584401661604,0.09544253839100357,0.02967928264028909,0.013162893825809856,0.006313767635792152,0.03520617934830141,0.014609722124010339,0.044417537219620405,0.3714170295823621,0.4719990493073019,0.03399364868986411,0.01911987026316176,0.006702328458227212,0.0025330041545209244,0.012274771993120022,0.00926813081781713,0.042426689439406806,0.5758155672157136,0.32174771606362756,0.02523733965146826,0.006447784252771749,0.004432182505691395,0.002349152276687557,0.017845302857765706,0.009843868679532766,0.041164809891665446,0.27309191044954484,0.515625161824494,0.1079531470579805,0.021800736518513514,0.008699068661311782,0.003975087101806526
10,0.0394745802960789,0.030867502311080985,0.08663552406636686,0.23022497012736712,0.36218674734293244,0.12350370488717573,0.07833031987050025,0.03205425076615716,0.01672117881315656,0.05035969278695339,0.04946383689747694,0.07103154378678381,0.23506787175767546,0.4169997565484096,0.06826458949232823,0.04065508112305563,0.04443918016497036,0.02371683615929275,0.05012754649008642,0.0188178609536048,0.03081345649635998,0.07087915582663606,0.3598171655628775,0.2473595858058915,0.14289351026380723,0.056789484406517564,0.022500516730331068,0.056737283069020074,0.06316797315237986,0.0885691913945323,0.17047591772449144,0.3476684127639066,0.13437385942965355,0.07579502630704442,0.04429969636264269,0.018911096878395123,0.02645812072745276,0.012745688511684646,0.032398807726776065,0.031243030516084954,0.0975041839270032,0.39448366745544966,0.3068560497154032,0.07338056043646789,0.024928981122971202,0.0664502713417491,0.040099131699559705,0.08593891640646893,0.22108048962683596,0.2712784105180233,0.19185261074395563,0.07522737583607278,0.025706641341113796,0.02236462316320628,0.047161962219195344,0.025690515227531914,0.07976300549982902,0.17435318629363894,0.4753305679181935,0.13011287170570857,0.03899920559732111,0.019877156431144724,0.008710034314107318,0.054065855346885586,0.042100745826307046,0.10547704152961904,0.30559160060397067,0.2949629425079324,0.062057098973905316,0.05960949147195301,0.03998622896084672,0.03614810213057753,0.04849611303468864,0.03574132365635693,0.0877240732545746,0.2543330241041034,0.35717151125402047,0.13325972443881284,0.04279698720736623,0.022682701309594044,0.017793730661158236
